Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
81,Ante Budimir,Osasuna,0.7,1.0,2449,33,CRO
82,Koke,Atlético de Madrid,0.6,3.6,2502,35,ESP
83,Oriol Romeu,Barcelona,0.6,3.5,930,28,ESP
84,Moi Gomez,Osasuna,0.6,3.4,2010,28,ESP
85,Javier Guerra,Valencia CF,0.6,3.2,2502,36,ESP
85,Toni Kroos,Real Madrid,0.6,3.2,2130,33,GER
87,Aleix Garcia,Girona,0.6,2.8,3201,37,ESP
88,Antonio Blanco,Alavés,0.6,2.7,2436,33,ESP
88,Ruben Sobrino,Cádiz,0.6,2.7,1648,32,ESP
90,Federico Valverde,Real Madrid,0.6,2.6,2910,37,URU
90,Isi Palazon,Rayo Vallecano,0.6,2.6,2810,37,ESP
92,Iván Martin,Girona,0.6,2.4,2744,36,ESP
93,Luca de la Torre,Celta de Vigo,0.6,2.3,1956,31,USA
93,Rubén Pena,Osasuna,0.6,2.3,2105,29,ESP
95,Marcos Acuna,Sevilla,0.6,2.2,1296,21,ARG
96,Hamari Traoré,Real Sociedad,0.6,2.1,2296,31,MLI
97,Ezequiel Ávila,Real Betis,0.6,2.0,1166,23,ARG
97,José Arnáiz,Osasuna,0.6,2.0,922,26,ESP
99,Joao Félix,Barcelona,0.6,1.9,1542,30,POR
99,Yan Couto,Girona,0.6,1.9,2245,34,BRA
101,Oscar de Marcos,Athletic Club,0.6,1.8,2261,28,ESP
102,Alex Berenguer,Athletic Club,0.6,1.7,1581,35,ESP
103,Manuel Sánchez,Celta de Vigo,0.6,1.6,1777,26,ESP
104,Abderrahman Rebbach,Alavés,0.6,1.5,713,23,ALG
104,Sandro Ramirez,Las Palmas,0.6,1.5,1819,27,ESP
106,Cyle Larin,Mallorca,0.6,1.2,1823,35,CAN
106,Juanmi Latasa,Getafe,0.6,1.2,1553,32,ESP
108,Robert Lewandowski,Barcelona,0.6,1.1,2758,35,POL
109,Anastasios Douvikas,Celta de Vigo,0.6,1.0,886,32,GRE
109,Joselu,Real Madrid,0.6,1.0,1676,34,ESP
111,Guido Rodriguez,Real Betis,0.5,3.8,1849,24,ARG
111,Renato Tapia,Celta de Vigo,0.5,3.8,1337,21,PER
113,Kirian Rodriguez,Las Palmas,0.5,3.6,3217,37,ESP
113,Rubén Alcaraz,Cádiz,0.5,3.6,3138,36,ESP
115,Maximo Perrone,Las Palmas,0.5,3.4,1626,29,ARG
116,Gonzalo Villar,Granada CF,0.5,3.3,1785,35,ESP
117,Sergi Darder,Mallorca,0.5,3.2,2154,36,ESP
118,Daniel Parejo,Villarreal,0.5,3.0,2586,33,ESP
118,Ilkay Gündogan,Barcelona,0.5,3.0,2997,36,GER
118,Sergio Ruiz,Granada CF,0.5,3.0,2501,35,ESP
121,Brais Méndez,Real Sociedad,0.5,2.7,2420,32,ESP
122,Luka Modric,Real Madrid,0.5,2.6,1685,32,CRO
122,Mason Greenwood,Getafe,0.5,2.6,2667,33,ENG
122,Pablo Maffeo,Mallorca,0.5,2.6,1456,22,ARG
125,Samuel Dias Lino,Atlético de Madrid,0.5,2.5,2087,34,BRA
126,José Maria Callejon,Granada CF,0.5,2.4,794,25,ESP
127,Joao Cancelo,Barcelona,0.5,2.3,2506,32,POR
127,Luis Rioja,Alavés,0.5,2.3,2511,37,ESP
129,Nabil Fekir,Real Betis,0.5,2.2,1049,19,FRA
129,Saul Niguez,Atlético de Madrid,0.5,2.2,1363,34,ESP
129,Sergi Cardona,Las Palmas,0.5,2.2,2816,35,ESP
132,Jorge de Frutos,Rayo Vallecano,0.5,2.1,1542,36,ESP
133,Antonio Puertas,Granada CF,0.5,2.0,720,27,ESP
133,Marc Cardona,Las Palmas,0.5,2.0,724,26,ESP
133,Nahuel Molina,Atlético de Madrid,0.5,2.0,1855,30,ARG
133,Nemanja Maksimovic,Getafe,0.5,2.0,3272,37,SRB
137,Pep Chavarria,Rayo Vallecano,0.5,1.9,1164,22,ESP
138,Iván Alejo,Cádiz,0.5,1.8,1702,30,ESP
139,Hugo Duro,Valencia CF,0.5,1.4,2994,37,ESP
139,Munir El Haddadi,Las Palmas,0.5,1.4,2470,38,MAR
139,Samuel Omorodion,Alavés,0.5,1.4,2003,35,ESP
142,Alberto Moleiro,Las Palmas,0.5,1.3,1807,28,ESP
142,Antoine Griezmann,Atlético de Madrid,0.5,1.3,2654,33,FRA
142,Dodi Lukebakio,Sevilla,0.5,1.3,1124,23,BEL
