Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
81,Lucas Boye,Granada CF,2.0,10.7,2555,31,ARG
82,Luis Rioja,Alavés,2.0,8.8,2511,37,ESP
83,Lucas Ocampos,Sevilla,2.0,6.3,2885,35,ARG
84,Alex Sola,Alavés,2.0,0.0,1285,31,ESP
85,Viktor Tsigankov,Girona,1.9,18.2,2067,30,UKR
86,Bryan Zaragoza,Granada CF,1.9,17.7,1640,21,ESP
87,Takefusa Kubo,Real Sociedad,1.9,15.2,2155,30,JPN
88,Oihan Sancet,Athletic Club,1.9,9.5,1991,30,ESP
89,Jonathan Bamba,Celta de Vigo,1.9,7.3,1993,27,CIV
90,Alex Berenguer,Athletic Club,1.8,21.9,1581,35,ESP
91,Sergio Camello,Rayo Vallecano,1.8,9.1,1668,31,ESP
92,Ilias Akhomach,Villarreal,1.8,6.7,1511,31,MAR
93,Florian Lejeune,Rayo Vallecano,1.8,4.5,3328,37,FRA
94,Mikel Oyarzabal,Real Sociedad,1.7,22.5,2157,33,ESP
95,Roman Yaremchuk,Valencia CF,1.7,16.7,926,25,UKR
96,Unai Gomez,Athletic Club,1.7,12.5,867,25,ESP
97,Jorge de Frutos,Rayo Vallecano,1.7,6.9,1542,36,ESP
98,Federico Valverde,Real Madrid,1.7,3.6,2910,37,URU
99,Pablo Torre,Girona,1.7,0.0,690,26,ESP
99,Selim Amallah,Valencia CF,1.7,0.0,597,20,MAR
101,Cristian Portu,Girona,1.6,31.8,1271,36,ESP
102,Jaime Mata,Getafe,1.6,15.6,1790,35,ESP
103,Álvaro Garcia,Rayo Vallecano,1.6,13.3,2493,32,ESP
104,Rubén Garcia,Osasuna,1.6,10.7,1549,30,ESP
105,Alberto Moleiro,Las Palmas,1.6,9.1,1807,28,ESP
106,Munir El Haddadi,Las Palmas,1.6,7.0,2470,38,MAR
107,Rodri,Real Betis,1.6,0.0,1039,29,ESP
108,Javier Guerra,Valencia CF,1.5,9.5,2502,36,ESP
109,Jonathan Viera,Almería,1.5,7.7,1541,21,ESP
110,Suso,Sevilla,1.5,3.9,1514,29,ESP
111,Lucas Torro,Osasuna,1.5,3.3,1788,28,ESP
112,Toni Kroos,Real Madrid,1.5,2.9,2130,33,GER
113,Gerard Gumbau,Granada CF,1.5,0.0,2684,35,ESP
114,Savio,Girona,1.4,20.0,2989,37,BRA
115,Antonio Sánchez,Mallorca,1.4,13.0,1463,29,ESP
116,Kike Pérez,Rayo Vallecano,1.4,7.7,828,24,ESP
117,Diego Lopez,Valencia CF,1.4,7.3,2671,36,ESP
118,Carles Alena,Getafe,1.4,6.3,1007,29,ESP
118,Rubén Alcaraz,Cádiz,1.4,6.3,3138,36,ESP
120,Robert Navarro,Cádiz,1.4,3.3,1905,28,ESP
121,Unai Lopez,Rayo Vallecano,1.4,3.1,2123,35,ESP
122,José Maria Callejon,Granada CF,1.4,0.0,794,25,ESP
122,Lucas Robertone,Almería,1.4,0.0,2391,33,ARG
124,Ilkay Gündogan,Barcelona,1.3,11.6,2997,36,GER
125,Rodrigo De Paul,Atlético de Madrid,1.3,10.0,2084,34,ARG
126,Luka Modric,Real Madrid,1.3,8.0,1685,32,CRO
127,Sergi Darder,Mallorca,1.3,6.3,2154,36,ESP
128,Javier Munoz,Las Palmas,1.3,5.3,2646,37,ESP
129,Renato Tapia,Celta de Vigo,1.3,0.0,1337,21,PER
130,Kirian Rodriguez,Las Palmas,1.2,14.0,3217,37,ESP
131,Aurélien Tchouaméni,Real Madrid,1.2,11.1,1987,27,FRA
132,Antonio Raillo,Mallorca,1.2,10.3,2198,26,ESP
133,Jon Guridi,Alavés,1.2,8.3,2697,36,ESP
134,Gonzalo Melero,Almería,1.2,7.1,1093,28,ESP
135,Pathé Ciss,Rayo Vallecano,1.2,4.6,1658,31,SEN
136,Yan Couto,Girona,1.2,3.5,2245,34,BRA
137,Ander Herrera,Athletic Club,1.2,0.0,1023,23,ESP
137,Benat Turrientes,Real Sociedad,1.2,0.0,1688,29,ESP
137,Maximiliano Gomez,Cádiz,1.2,0.0,1157,31,URU
137,Oscar Trejo,Rayo Vallecano,1.2,0.0,1381,31,ARG
141,Carlos Benavidez,Alavés,1.1,21.4,1121,29,URU
142,Marcos Llorente,Atlético de Madrid,1.1,20.0,2570,37,ESP
143,Iker Munoz,Osasuna,1.1,17.4,1856,28,ESP
144,Mikel Merino,Real Sociedad,1.1,16.7,2485,32,ESP
145,Mikel Vesga,Athletic Club,1.1,15.8,1535,27,ESP
146,William Carvalho,Real Betis,1.1,12.5,669,22,POR
147,Aleix Garcia,Girona,1.1,7.7,3201,37,ESP
148,Joao Cancelo,Barcelona,1.1,6.3,2506,32,POR
148,Saul Niguez,Atlético de Madrid,1.1,6.3,1363,34,ESP
150,Djibril Sow,Sevilla,1.1,5.6,1469,24,SUI
151,Gonzalo Villar,Granada CF,1.1,4.6,1785,35,ESP
152,Luca de la Torre,Celta de Vigo,1.1,4.2,1956,31,USA
153,Javier Hernández,Cádiz,1.1,3.3,2517,30,ESP
154,Daniel Ceballos,Real Madrid,1.1,0.0,586,20,ESP
154,Dion Lopy,Almería,1.1,0.0,1917,30,SEN
154,Ruben Sobrino,Cádiz,1.1,0.0,1648,32,ESP
157,Pepelu,Valencia CF,1.0,20.0,3305,37,ESP
158,Alberto Moreno,Villarreal,1.0,11.8,1490,27,ESP
159,Sergio Ramos,Sevilla,1.0,10.7,2518,28,ESP
160,Aimar Oroz,Osasuna,1.0,8.0,2350,33,ESP
161,Miguel Gutiérrez,Girona,1.0,5.9,3037,35,ESP
162,Nemanja Gudelj,Sevilla,1.0,5.3,1744,22,SRB
163,Marc Pubill,Almería,1.0,5.0,1889,23,ESP
164,Ronald Araujo,Barcelona,1.0,4.4,1994,25,URU
165,Juan Iglesias,Getafe,1.0,0.0,1413,23,ESP
165,Omar Alderete,Getafe,1.0,0.0,2194,31,PAR
165,Oriol Romeu,Barcelona,1.0,0.0,930,28,ESP
165,Pablo Barrios,Atlético de Madrid,1.0,0.0,1556,24,ESP
169,Valery Fernández,Girona,0.9,40.0,486,27,ESP
170,Pedri,Barcelona,0.9,26.7,1482,24,ESP
171,Kike Salas,Sevilla,0.9,18.8,1604,23,ESP
172,Moi Gomez,Osasuna,0.9,15.8,2010,28,ESP
173,Jorge Cuenca,Villarreal,0.9,15.0,1961,29,ESP
174,Jesus Vázquez,Valencia CF,0.9,14.3,705,20,ESP
175,Nemanja Maksimovic,Getafe,0.9,11.8,3272,37,SRB
175,Santi Comesana,Villarreal,0.9,11.8,1656,27,ESP
177,Guido Rodriguez,Real Betis,0.9,11.1,1849,24,ARG
178,Marc Roca,Real Betis,0.9,10.0,1986,26,ESP
179,Pep Chavarria,Rayo Vallecano,0.9,9.1,1164,22,ESP
180,Daniel Rodriguez,Mallorca,0.9,7.4,2632,36,ESP
181,Étienne Capoue,Villarreal,0.9,7.1,1444,32,FRA
182,Fran Pérez,Valencia CF,0.9,5.0,2069,32,ESP
183,Samu,Mallorca,0.9,4.6,2305,34,POR
184,Ramon Terrats,Villarreal,0.9,0.0,780,19,ESP
185,Lucas Vázquez,Real Madrid,0.8,25.0,1410,29,ESP
186,Yuri Berchiche,Athletic Club,0.8,16.7,1931,27,ESP
187,José Ángel Carmona,Getafe,0.8,8.3,1312,30,ESP
188,Oscar Mingueza,Celta de Vigo,0.8,7.1,3002,38,ESP
189,Adrià Pedrosa,Sevilla,0.8,6.3,1749,31,ESP
189,Jon Moncayola,Osasuna,0.8,6.3,1801,33,ESP
189,Juan Miranda,Real Betis,0.8,6.3,1860,25,ESP
192,Saul Coco,Las Palmas,0.8,5.0,2293,30,EQG
193,Sergi Cardona,Las Palmas,0.8,3.9,2816,35,ESP
194,Eduardo Camavinga,Real Madrid,0.8,0.0,1824,31,FRA
194,Enzo Loiodice,Las Palmas,0.8,0.0,1792,34,FRA
194,Fran Beltrán,Celta de Vigo,0.8,0.0,2438,33,ESP
194,Juanlu Sánchez,Sevilla,0.8,0.0,1174,26,ESP
198,Daniel Carvajal,Real Madrid,0.7,22.2,2172,28,ESP
199,David Lopez,Girona,0.7,18.8,1975,25,ESP
200,Martin Zubimendi,Real Sociedad,0.7,18.2,2655,31,ESP
201,Rubén Duarte,Alavés,0.7,13.3,1875,28,ESP
202,Alfonso Pedraza,Villarreal,0.7,11.1,1119,19,ESP
203,Pablo Maffeo,Mallorca,0.7,9.1,1456,22,ARG
204,Gonzalo Escalante,Cádiz,0.7,7.1,1702,25,ARG
205,Javi Lopez,Alavés,0.7,5.6,2387,32,ESP
206,Ignasi Miquel,Granada CF,0.7,4.6,2991,34,ESP
206,Unai Nunez,Celta de Vigo,0.7,4.6,2802,34,ESP
208,Germán Pezzella,Real Betis,0.7,4.4,2770,32,ARG
209,Jules Koundé,Barcelona,0.7,4.2,2899,35,FRA
210,Antonio Blanco,Alavés,0.7,0.0,2436,33,ESP
210,César Montes,Almería,0.7,0.0,1792,21,MEX
210,Hamari Traoré,Real Sociedad,0.7,0.0,2296,31,MLI
210,Johan Mojica,Osasuna,0.7,0.0,2041,30,COL
210,Luis Milla,Getafe,0.7,0.0,2123,27,ESP
210,Marvin Park,Las Palmas,0.7,0.0,1852,31,ESP
210,Rubén Pena,Osasuna,0.7,0.0,2105,29,ESP
217,Eric Garcia,Girona,0.6,29.4,2697,32,ESP
218,Iván Martin,Girona,0.6,26.3,2744,36,ESP
219,Nahuel Molina,Atlético de Madrid,0.6,16.7,1855,30,ARG
220,Nahuel Tenaglia,Alavés,0.6,12.5,1131,25,ARG
221,Francisco Garcia,Real Madrid,0.6,11.1,1396,25,ESP
221,Marcos Acuna,Sevilla,0.6,11.1,1296,21,ARG
