Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
81,Sergi Canos,Valencia CF,0.21,0.07,1234,27,ESP
82,Pepelu,Valencia CF,0.2,0.19,3305,37,ESP
83,Pedri,Barcelona,0.19,0.24,1482,24,ESP
84,Isi Palazon,Rayo Vallecano,0.19,0.13,2810,37,ESP
84,Roger,Cádiz,0.19,0.13,1367,23,ESP
86,Ilias Akhomach,Villarreal,0.19,0.12,1511,31,MAR
87,Nabil Fekir,Real Betis,0.19,0.09,1049,19,FRA
88,Sandro Ramirez,Las Palmas,0.19,0.05,1819,27,ESP
89,Savio,Girona,0.18,0.27,2989,37,BRA
90,Pablo Ibánez,Osasuna,0.18,0.08,1141,33,ESP
91,Arsen Zakharyan,Real Sociedad,0.18,0.07,1229,29,RUS
92,José Arnáiz,Osasuna,0.17,0.2,922,26,ESP
93,Lucas Ocampos,Sevilla,0.17,0.12,2885,35,ARG
94,Darwin Machis,Cádiz,0.16,0.46,782,21,VEN
95,Brais Méndez,Real Sociedad,0.16,0.19,2420,32,ESP
96,Antonio Sánchez,Mallorca,0.16,0.18,1463,29,ESP
96,Mikel Vesga,Athletic Club,0.16,0.18,1535,27,ESP
96,Rodrigo Riquelme,Atlético de Madrid,0.16,0.18,1522,34,ESP
99,Adrián Embarba,Almería,0.16,0.11,2485,36,ESP
99,Munir El Haddadi,Las Palmas,0.16,0.11,2470,38,MAR
101,Gonzalo Melero,Almería,0.16,0.08,1093,28,ESP
102,Takefusa Kubo,Real Sociedad,0.15,0.29,2155,30,JPN
103,Unai Gomez,Athletic Club,0.15,0.21,867,25,ESP
104,Jesus Vázquez,Valencia CF,0.15,0.13,705,20,ESP
105,Jorge de Frutos,Rayo Vallecano,0.15,0.12,1542,36,ESP
106,Nemanja Maksimovic,Getafe,0.15,0.11,3272,37,SRB
107,José Maria Callejon,Granada CF,0.15,0.0,794,25,ESP
108,Marcos Llorente,Atlético de Madrid,0.14,0.21,2570,37,ESP
109,Oscar Rodriguez,Getafe,0.14,0.19,962,24,ESP
110,Aimar Oroz,Osasuna,0.14,0.08,2350,33,ESP
111,Valery Fernández,Girona,0.13,0.37,486,27,ESP
112,Rubén Garcia,Osasuna,0.13,0.17,1549,30,ESP
113,Jonathan Bamba,Celta de Vigo,0.13,0.14,1993,27,CIV
114,Jon Guridi,Alavés,0.13,0.1,2697,36,ESP
115,Maximiliano Gomez,Cádiz,0.13,0.0,1157,31,URU
116,Mikel Merino,Real Sociedad,0.12,0.18,2485,32,ESP
117,Diego Lopez,Valencia CF,0.12,0.1,2671,36,ESP
118,Alex Sola,Alavés,0.12,0.0,1285,31,ESP
119,Carles Alena,Getafe,0.11,0.09,1007,29,ESP
120,Federico Valverde,Real Madrid,0.11,0.06,2910,37,URU
121,Gonzalo Escalante,Cádiz,0.11,0.05,1702,25,ARG
121,Luca de la Torre,Celta de Vigo,0.11,0.05,1956,31,USA
123,Eric Garcia,Girona,0.1,0.17,2697,32,ESP
124,Iván Martin,Girona,0.1,0.16,2744,36,ESP
125,Alberto Moleiro,Las Palmas,0.1,0.15,1807,28,ESP
126,Javier Guerra,Valencia CF,0.1,0.14,2502,36,ESP
127,Abderrahman Rebbach,Alavés,0.1,0.13,713,23,ALG
128,Santi Comesana,Villarreal,0.1,0.11,1656,27,ESP
129,Daniel Parejo,Villarreal,0.1,0.1,2586,33,ESP
130,Saul Niguez,Atlético de Madrid,0.1,0.07,1363,34,ESP
131,Robert Navarro,Cádiz,0.1,0.05,1905,28,ESP
131,Ronald Araujo,Barcelona,0.1,0.05,1994,25,URU
133,Pablo Torre,Girona,0.1,0.0,690,26,ESP
133,Ruben Sobrino,Cádiz,0.1,0.0,1648,32,ESP
135,Benito,Las Palmas,0.09,0.24,368,20,ESP
136,Lucas Vázquez,Real Madrid,0.09,0.19,1410,29,ESP
137,David Lopez,Girona,0.09,0.14,1975,25,ESP
137,Martin Zubimendi,Real Sociedad,0.09,0.14,2655,31,ESP
139,Rubén Alcaraz,Cádiz,0.09,0.09,3138,36,ESP
140,Florian Lejeune,Rayo Vallecano,0.09,0.08,3328,37,FRA
140,Sergi Darder,Mallorca,0.09,0.08,2154,36,ESP
142,Edgar González,Almería,0.09,0.07,2528,31,ESP
142,Javier Munoz,Las Palmas,0.09,0.07,2646,37,ESP
144,Djibril Sow,Sevilla,0.09,0.06,1469,24,SUI
145,Gonzalo Villar,Granada CF,0.09,0.05,1785,35,ESP
146,Sergi Cardona,Las Palmas,0.09,0.03,2816,35,ESP
147,Rodri,Real Betis,0.09,0.0,1039,29,ESP
148,Carlos Benavidez,Alavés,0.08,0.24,1121,29,URU
149,Moi Gomez,Osasuna,0.08,0.13,2010,28,ESP
149,Rodrigo De Paul,Atlético de Madrid,0.08,0.13,2084,34,ARG
151,Pep Chavarria,Rayo Vallecano,0.08,0.08,1164,22,ESP
152,Miguel Gutiérrez,Girona,0.08,0.06,3037,35,ESP
152,Oscar Mingueza,Celta de Vigo,0.08,0.06,3002,38,ESP
152,Suso,Sevilla,0.08,0.06,1514,29,ESP
155,Juan Miranda,Real Betis,0.08,0.05,1860,25,ESP
155,Lucas Torro,Osasuna,0.08,0.05,1788,28,ESP
155,Pathé Ciss,Rayo Vallecano,0.08,0.05,1658,31,SEN
158,Daniel Carvajal,Real Madrid,0.07,0.17,2172,28,ESP
159,Luka Modric,Real Madrid,0.07,0.11,1685,32,CRO
159,Sergio Ramos,Sevilla,0.07,0.11,2518,28,ESP
161,Jon Pacheco,Real Sociedad,0.07,0.06,1521,23,ESP
162,Toni Kroos,Real Madrid,0.07,0.04,2130,33,GER
163,Germán Pezzella,Real Betis,0.07,0.03,2770,32,ARG
164,Juanlu Sánchez,Sevilla,0.07,0.0,1174,26,ESP
164,Oriol Romeu,Barcelona,0.07,0.0,930,28,ESP
164,Renato Tapia,Celta de Vigo,0.07,0.0,1337,21,PER
167,Kirian Rodriguez,Las Palmas,0.06,0.17,3217,37,ESP
