Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
81,Florian Lejeune,Rayo Vallecano,4.0,3.0,3328,37,FRA
82,Javier Guerra,Valencia CF,3.9,4.0,2502,36,ESP
83,Umar Sadiq,Real Sociedad,3.9,3.0,1074,26,NGA
84,Rodrigo Riquelme,Atlético de Madrid,3.8,3.0,1522,34,ESP
85,Javier Munoz,Las Palmas,3.8,2.0,2646,37,ESP
86,Abdon Prats,Mallorca,3.7,6.0,1258,34,ESP
87,Martin Zubimendi,Real Sociedad,3.7,4.0,2655,31,ESP
88,Rubén Alcaraz,Cádiz,3.7,3.0,3138,36,ESP
89,Kirian Rodriguez,Las Palmas,3.6,6.0,3217,37,ESP
90,Iker Muniain,Athletic Club,3.6,2.0,585,20,ESP
91,Moi Gomez,Osasuna,3.5,3.0,2010,28,ESP
91,Roman Yaremchuk,Valencia CF,3.5,3.0,926,25,UKR
93,André Silva,Real Sociedad,3.4,3.0,730,19,POR
94,Jon Guridi,Alavés,3.3,3.0,2697,36,ESP
95,Daniel Carvajal,Real Madrid,3.2,4.0,2172,28,ESP
96,Mikel Vesga,Athletic Club,3.2,3.0,1535,27,ESP
96,Rodrigo De Paul,Atlético de Madrid,3.2,3.0,2084,34,ARG
98,Oscar Mingueza,Celta de Vigo,3.2,2.0,3002,38,ESP
99,Daniel Parejo,Villarreal,3.1,3.0,2586,33,ESP
99,Juanmi,Cádiz,3.1,3.0,872,16,ESP
101,Aimar Oroz,Osasuna,3.0,2.0,2350,33,ESP
101,Jonathan Viera,Almería,3.0,2.0,1541,21,ESP
103,Raul de Tomas,Rayo Vallecano,3.0,1.0,1277,25,ESP
104,Brais Méndez,Real Sociedad,2.9,5.0,2420,32,ESP
105,Marc Cardona,Las Palmas,2.9,4.0,724,26,ESP
106,Alberto Moleiro,Las Palmas,2.9,3.0,1807,28,ESP
107,Sergi Guardiola,Cádiz,2.9,1.0,475,22,ESP
108,Ivan Rakitic,Sevilla,2.8,2.0,1425,18,CRO
109,Abdessamad Ezzalzouli,Real Betis,2.8,1.0,921,28,MAR
109,Randy Nteka,Rayo Vallecano,2.8,1.0,563,16,ANG
111,Sergio Ramos,Sevilla,2.7,3.0,2518,28,ESP
112,Rafa Mir,Sevilla,2.7,2.0,382,15,ESP
113,Juan Miranda,Real Betis,2.7,1.0,1860,25,ESP
114,Arda Güler,Real Madrid,2.6,6.0,373,10,TUR
115,Aleix Garcia,Girona,2.6,3.0,3201,37,ESP
115,Anthony Lozano,Almería,2.6,3.0,866,19,HON
117,Pejino,Las Palmas,2.6,2.0,498,17,ESP
117,Sergi Darder,Mallorca,2.6,2.0,2154,36,ESP
119,Goncalo Guedes,Villarreal,2.5,3.0,951,17,POR
120,Ilias Akhomach,Villarreal,2.5,2.0,1511,31,MAR
120,Santi Comesana,Villarreal,2.5,2.0,1656,27,ESP
120,Sheraldo Becker,Real Sociedad,2.5,2.0,772,15,SUR
123,Lucas Robertone,Almería,2.5,0.0,2391,33,ARG
124,Antonio Sánchez,Mallorca,2.4,3.0,1463,29,ESP
125,Unai Gomez,Athletic Club,2.4,2.0,867,25,ESP
126,Oscar Valentin,Rayo Vallecano,2.4,1.0,2700,34,ESP
126,Sergi Canos,Valencia CF,2.4,1.0,1234,27,ESP
128,Benat Turrientes,Real Sociedad,2.4,0.0,1688,29,ESP
129,Pedri,Barcelona,2.3,4.0,1482,24,ESP
130,David Lopez,Girona,2.3,3.0,1975,25,ESP
130,Lucas Vázquez,Real Madrid,2.3,3.0,1410,29,ESP
130,Rubén Garcia,Osasuna,2.3,3.0,1549,30,ESP
133,Joao Cancelo,Barcelona,2.3,2.0,2506,32,POR
134,Toni Kroos,Real Madrid,2.3,1.0,2130,33,GER
135,Williot Swedberg,Celta de Vigo,2.2,5.0,434,15,SWE
136,Darwin Machis,Cádiz,2.2,4.0,782,21,VEN
137,Sergi Roberto,Barcelona,2.2,3.0,863,14,ESP
138,Asier Villalibre,Athletic Club,2.2,2.0,503,18,ESP
138,Ezequiel Ávila,Real Betis,2.2,2.0,1166,23,ARG
138,Facundo Pellistri,Granada CF,2.2,2.0,1220,15,URU
141,Radamel Falcao,Rayo Vallecano,2.1,1.0,391,22,COL
141,Robert Navarro,Cádiz,2.1,1.0,1905,28,ESP
