Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
378,Jailson,Celta de Vigo,1.0,0.0,893,14,BRA
378,Jan Oblak,Atlético de Madrid,1.0,0.0,3420,38,SVN
378,Javi Llabrés,Mallorca,1.0,0.0,235,16,ESP
378,Jesus Owono,Alavés,1.0,0.0,360,4,EQG
378,Jesus Vallejo,Granada CF,1.0,0.0,106,3,ESP
378,Jesus Vázquez,Valencia CF,1.0,0.0,705,20,ESP
378,Joan Jordán,Sevilla,1.0,0.0,378,8,ESP
378,Johan Mojica,Osasuna,1.0,0.0,2041,30,COL
378,Jordi Martin,Getafe,1.0,0.0,574,13,ESP
378,Jorge de Frutos,Rayo Vallecano,1.0,0.0,1542,36,ESP
378,José Mari,Cádiz,1.0,0.0,12,3,ESP
378,Joselu,Real Madrid,1.0,0.0,1676,34,ESP
378,Juan Carlos,Girona,1.0,0.0,0,1,ESP
378,Juan Foyth,Villarreal,1.0,0.0,1063,12,ARG
378,Juanma Herzog,Las Palmas,1.0,0.0,291,4,ESP
378,Kepa Arrizabalaga,Real Madrid,1.0,0.0,1197,14,ESP
378,Kieran Tierney,Real Sociedad,1.0,0.0,1243,20,SCO
378,Luis Maximiano,Almería,1.0,0.0,2970,33,POR
378,Luiz Felipe,Real Betis,1.0,0.0,360,4,ITA
378,Luiz Henrique,Real Betis,1.0,0.0,611,14,BRA
378,Manu Bueno,Sevilla,1.0,0.0,99,4,ESP
378,Marc Bartra,Real Betis,1.0,0.0,225,3,ESP
378,Marc Guiu,Barcelona,1.0,0.0,73,3,ESP
378,Mariano Diaz,Sevilla,1.0,0.0,239,9,DOM
378,Marko Dmitrovic,Sevilla,1.0,0.0,1170,13,SRB
378,Matias Arezo,Granada CF,1.0,0.0,359,14,URU
378,Nabil Fekir,Real Betis,1.0,0.0,1049,19,FRA
378,Omenuke Mfulu,Las Palmas,1.0,0.0,77,5,COD
378,Ørjan Håskjold Nyland,Sevilla,1.0,0.0,2160,24,NOR
378,Pablo Torre,Girona,1.0,0.0,690,26,ESP
378,Pejino,Las Palmas,1.0,0.0,498,17,ESP
378,Peter González,Valencia CF,1.0,0.0,646,15,DOM
378,Rafa Mir,Sevilla,1.0,0.0,382,15,ESP
378,Rodrigo Riquelme,Atlético de Madrid,1.0,0.0,1522,34,ESP
378,Rubén Garcia,Osasuna,1.0,0.0,1549,30,ESP
378,Sergi Altimira,Real Betis,1.0,0.0,566,14,ESP
378,Sergi Guardiola,Cádiz,1.0,0.0,475,22,ESP
378,Sergio Arribas,Almería,1.0,0.0,2055,34,ESP
378,Sheraldo Becker,Real Sociedad,1.0,0.0,772,15,SUR
378,Tadeo Allende,Celta de Vigo,1.0,0.0,330,10,ARG
378,Unai Gomez,Athletic Club,1.0,0.0,867,25,ESP
378,Urko González,Real Sociedad,1.0,0.0,154,5,ESP
378,Valery Fernández,Girona,1.0,0.0,486,27,ESP
378,Victor Diaz,Granada CF,1.0,0.0,161,4,ESP
378,Williot Swedberg,Celta de Vigo,1.0,0.0,434,15,SWE
378,Wilson Manafa,Granada CF,1.0,0.0,241,4,POR
378,Xeber Alkain,Alavés,1.0,0.0,300,10,ESP
378,Yarek Gasiorowski,Valencia CF,1.0,0.0,732,14,ESP
