Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
93,Oscar de Marcos,Athletic Club,2.3,50.0,2261,28,ESP
94,Moi Gomez,Osasuna,2.3,49.5,2010,28,ESP
95,Bebé,Rayo Vallecano,2.3,41.7,193,19,CPV
96,Miguel Rubio,Granada CF,2.3,35.8,1559,19,ESP
97,Thierry Correia,Valencia CF,2.3,33.1,2157,31,POR
98,Juan Iglesias,Getafe,2.3,27.9,1413,23,ESP
99,Pedri,Barcelona,2.2,74.0,1482,24,ESP
100,Andreas Christensen,Barcelona,2.2,73.8,1990,30,DEN
101,Pablo Torre,Girona,2.2,65.4,690,26,ESP
102,Oliver Torres,Sevilla,2.2,48.8,1620,27,ESP
103,Edgar González,Almería,2.2,44.3,2528,31,ESP
104,Cristhian Mosquera,Valencia CF,2.2,43.8,3074,36,ESP
104,Nemanja Gudelj,Sevilla,2.2,43.8,1744,22,SRB
106,Kiko,Villarreal,2.2,41.9,1579,23,ESP
107,José Gayà,Valencia CF,2.2,40.7,1797,24,ESP
108,Johan Mojica,Osasuna,2.2,38.5,2041,30,COL
109,Gerard Moreno,Villarreal,2.1,67.1,2229,30,ESP
110,Iddrisu Baba,Almería,2.1,66.7,1424,25,GHA
111,Santi Comesana,Villarreal,2.1,66.1,1656,27,ESP
112,Álex Baena,Villarreal,2.1,59.6,2599,34,ESP
113,Axel Witsel,Atlético de Madrid,2.1,59.3,2784,35,BEL
114,Kike Pérez,Rayo Vallecano,2.1,57.6,828,24,ESP
115,Kirian Rodriguez,Las Palmas,2.1,55.5,3217,37,ESP
116,Oscar Mingueza,Celta de Vigo,2.1,44.7,3002,38,ESP
117,Mika Mármol,Las Palmas,2.1,35.3,3181,36,ESP
118,Kieran Tierney,Real Sociedad,2.1,34.1,1243,20,SCO
119,Javi Lopez,Alavés,2.1,33.7,2387,32,ESP
120,Jorge Herrando,Osasuna,2.1,30.2,1644,19,ESP
121,Mikel Merino,Real Sociedad,2.0,65.9,2485,32,ESP
122,Benat Turrientes,Real Sociedad,2.0,64.4,1688,29,ESP
123,Gonzalo Villar,Granada CF,2.0,59.7,1785,35,ESP
124,Álex Fernández,Cádiz,2.0,54.9,1283,26,ESP
125,Sergio Ruiz,Granada CF,2.0,50.9,2501,35,ESP
126,Ander Guevara,Alavés,2.0,49.6,2936,37,ESP
127,Ricard Sánchez,Granada CF,2.0,49.5,2298,33,ESP
128,Nahuel Molina,Atlético de Madrid,2.0,41.4,1855,30,ARG
129,Gonzalo Escalante,Cádiz,2.0,41.3,1702,25,ARG
130,Alejandro Pozo,Almería,2.0,34.4,970,21,ESP
131,Gaston Álvarez,Getafe,2.0,32.4,2535,34,URU
132,Jude Bellingham,Real Madrid,1.9,83.3,2323,28,ENG
133,Boubakary Soumaré,Sevilla,1.9,76.2,2286,28,FRA
134,Antoine Griezmann,Atlético de Madrid,1.9,71.8,2654,33,FRA
135,Mason Greenwood,Getafe,1.9,65.9,2667,33,ENG
136,Eduardo Camavinga,Real Madrid,1.9,62.9,1824,31,FRA
137,Brais Méndez,Real Sociedad,1.9,56.2,2420,32,ESP
138,Manu Morlanes,Mallorca,1.9,52.3,1610,35,ESP
139,Germán Pezzella,Real Betis,1.9,39.3,2770,32,ARG
140,Carlos Neva,Granada CF,1.9,35.7,3152,36,ESP
141,Yangel Herrera,Girona,1.8,60.6,2120,29,VEN
142,Raphinha,Barcelona,1.8,59.6,1370,28,BRA
143,Nacho Fernandez,Real Madrid,1.8,50.7,1739,29,ESP
144,Oscar Valentin,Rayo Vallecano,1.8,43.8,2700,34,ESP
145,Juan Cruz,Osasuna,1.8,42.9,1663,26,ESP
146,Sergio Akieme,Almería,1.8,40.5,1676,19,EQG
147,Inigo Lekue,Athletic Club,1.8,37.4,2001,27,ESP
148,Javier Hernández,Cádiz,1.8,32.9,2517,30,ESP
149,Iker Muniain,Athletic Club,1.7,61.1,585,20,ESP
150,Darwin Machis,Cádiz,1.7,50.0,782,21,VEN
151,Saul Coco,Las Palmas,1.7,41.1,2293,30,EQG
152,Lucas Pires,Cádiz,1.7,38.4,1527,28,BRA
153,Aihen Munoz,Real Sociedad,1.7,36.2,1120,21,ESP
154,Jorge Cuenca,Villarreal,1.7,28.1,1961,29,ESP
155,Fermin Lopez,Barcelona,1.6,64.1,1444,31,ESP
156,Ramon Terrats,Villarreal,1.6,56.0,780,19,ESP
157,Martin Zubimendi,Real Sociedad,1.6,52.2,2655,31,ESP
158,Fran Beltrán,Celta de Vigo,1.6,51.9,2438,33,ESP
158,Pablo Barrios,Atlético de Madrid,1.6,51.9,1556,24,ESP
160,Carles Alena,Getafe,1.6,46.2,1007,29,ESP
160,David Lopez,Girona,1.6,46.2,1975,25,ESP
162,Carl Starfelt,Celta de Vigo,1.6,43.5,2218,27,SWE
163,Yuri Berchiche,Athletic Club,1.6,41.5,1931,27,ESP
164,Iván Balliu,Rayo Vallecano,1.6,35.9,2876,33,ALB
165,Juan Brandariz,Almería,1.6,35.5,2432,31,ESP
166,Alfonso Espino,Rayo Vallecano,1.6,29.3,2512,31,URU
167,Vinicius Junior,Real Madrid,1.5,61.5,1872,26,BRA
168,Iago Aspas,Celta de Vigo,1.5,56.8,2715,35,ESP
169,Rodri,Real Betis,1.5,56.7,1039,29,ESP
170,Daniel Carvajal,Real Madrid,1.5,54.5,2172,28,ESP
171,Rubén Garcia,Osasuna,1.5,51.0,1549,30,ESP
172,Toni Lato,Mallorca,1.5,38.8,1546,28,ESP
173,Kike Salas,Sevilla,1.5,24.1,1604,23,ESP
174,Ianis Hagi,Alavés,1.4,48.0,798,22,ROU
175,José Ángel Carmona,Getafe,1.4,46.7,1312,30,ESP
176,Jaume Costa,Mallorca,1.4,37.0,1681,30,ESP
177,Pep Chavarria,Rayo Vallecano,1.4,26.5,1164,22,ESP
178,Dimitri Foulquier,Valencia CF,1.4,26.2,1833,33,FRA
179,Borja Mayoral,Getafe,1.3,73.8,2162,27,ESP
180,Ferland Mendy,Real Madrid,1.3,68.6,1725,23,FRA
181,Samuel Dias Lino,Atlético de Madrid,1.3,56.9,2087,34,BRA
182,Djibril Sow,Sevilla,1.3,52.5,1469,24,SUI
183,Yan Couto,Girona,1.3,47.1,2245,34,BRA
184,Isi Palazon,Rayo Vallecano,1.3,46.0,2810,37,ESP
185,Jesus Areso,Osasuna,1.3,45.8,2661,37,ESP
186,Hector Bellerin,Real Betis,1.3,42.4,1714,23,ESP
187,Rubén Pena,Osasuna,1.3,42.3,2105,29,ESP
188,Manuel Sánchez,Celta de Vigo,1.3,38.2,1777,26,ESP
189,Antonio Sánchez,Mallorca,1.3,37.5,1463,29,ESP
190,Abner,Real Betis,1.3,37.0,1397,23,BRA
191,Isaac Carcelén,Cádiz,1.3,32.2,2609,35,ESP
192,Unai Gomez,Athletic Club,1.2,75.0,867,25,ESP
193,Raul de Tomas,Rayo Vallecano,1.2,70.8,1277,25,ESP
194,Miguel Gutiérrez,Girona,1.2,55.7,3037,35,ESP
195,Oscar Melendo,Granada CF,1.2,53.6,1126,26,ESP
196,Enzo Loiodice,Las Palmas,1.2,50.0,1792,34,FRA
197,Lucas Ocampos,Sevilla,1.2,48.7,2885,35,ARG
198,Adrián Embarba,Almería,1.2,47.8,2485,36,ESP
199,Arsen Zakharyan,Real Sociedad,1.2,47.1,1229,29,RUS
200,Daniel Rodriguez,Mallorca,1.2,43.9,2632,36,ESP
201,Lucas Torro,Osasuna,1.2,41.4,1788,28,ESP
202,Francisco Garcia,Real Madrid,1.2,38.8,1396,25,ESP
203,Javier Guerra,Valencia CF,1.2,34.7,2502,36,ESP
204,Marc Pubill,Almería,1.2,32.1,1889,23,ESP
205,Javi Galán,Real Sociedad,1.2,30.2,1159,19,ESP
206,Chadi Riad,Real Betis,1.2,29.5,2164,26,MAR
207,Pablo Maffeo,Mallorca,1.2,26.8,1456,22,ARG
208,César Azpilicueta,Atlético de Madrid,1.2,26.0,1421,25,ESP
209,Sandro Ramirez,Las Palmas,1.1,84.6,1819,27,ESP
210,Jonathan Viera,Almería,1.1,54.5,1541,21,ESP
211,Raul Garcia,Athletic Club,1.1,50.0,404,20,ESP
212,Saul Niguez,Atlético de Madrid,1.1,43.2,1363,34,ESP
213,Benat Prados,Athletic Club,1.1,42.9,1450,26,ESP
213,Sergi Guardiola,Cádiz,1.1,42.9,475,22,ESP
215,Maximo Perrone,Las Palmas,1.1,42.2,1626,29,ARG
216,Julian Araujo,Las Palmas,1.1,40.0,1462,25,MEX
217,Sergi Cardona,Las Palmas,1.1,30.1,2816,35,ESP
218,Adrià Pedrosa,Sevilla,1.1,29.3,1749,31,ESP
219,Memphis Depay,Atlético de Madrid,1.0,83.3,888,23,NED
220,Dodi Lukebakio,Sevilla,1.0,81.3,1124,23,BEL
221,Iván Martin,Girona,1.0,73.8,2744,36,ESP
222,Ferran Torres,Barcelona,1.0,73.7,1204,29,ESP
223,Willian José,Real Betis,1.0,72.4,1978,33,BRA
224,Largie Ramazani,Almería,1.0,58.1,1560,29,BEL
225,Aimar Oroz,Osasuna,1.0,57.4,2350,33,ESP
226,Nabil Fekir,Real Betis,1.0,57.1,1049,19,FRA
227,Oscar Trejo,Rayo Vallecano,1.0,50.0,1381,31,ARG
228,Andoni Gorosabel,Alavés,1.0,48.5,2863,36,ESP
229,Pablo Ibánez,Osasuna,1.0,48.1,1141,33,ESP
230,Javier Munoz,Las Palmas,1.0,41.2,2646,37,ESP
231,Sergi Canos,Valencia CF,1.0,36.8,1234,27,ESP
232,Alfonso Pedraza,Villarreal,1.0,27.9,1119,19,ESP
233,Antonio Puertas,Granada CF,0.9,77.8,720,27,ESP
234,Takefusa Kubo,Real Sociedad,0.9,68.8,2155,30,JPN
235,Brahim Diaz,Real Madrid,0.9,65.2,1551,31,MAR
236,Jon Guridi,Alavés,0.9,58.7,2697,36,ESP
237,Ander Barrenetxea,Real Sociedad,0.9,53.6,1436,29,ESP
238,Joao Félix,Barcelona,0.9,50.0,1542,30,POR
239,Alex Berenguer,Athletic Club,0.9,46.9,1581,35,ESP
240,Arnau Martinez,Girona,0.9,34.3,1240,21,ESP
241,Oihan Sancet,Athletic Club,0.8,66.7,1991,30,ESP
242,José Luis Morales,Villarreal,0.8,64.3,1037,29,ESP
243,Selim Amallah,Valencia CF,0.8,62.5,597,20,MAR
244,Viktor Tsigankov,Girona,0.8,58.1,2067,30,UKR
245,Nico Williams,Athletic Club,0.8,57.6,2280,31,ESP
246,Sergio Arribas,Almería,0.8,51.4,2055,34,ESP
247,Munir El Haddadi,Las Palmas,0.8,46.9,2470,38,MAR
248,Iván Alejo,Cádiz,0.8,36.6,1702,30,ESP
249,Lucas Vázquez,Real Madrid,0.8,30.0,1410,29,ESP
250,Lamine Yamal,Barcelona,0.7,70.8,2197,37,ESP
251,Gonzalo Melero,Almería,0.7,57.1,1093,28,ESP
252,Rodrigo Riquelme,Atlético de Madrid,0.7,40.7,1522,34,ESP
253,Luis Rioja,Alavés,0.7,35.2,2511,37,ESP
254,Juanlu Sánchez,Sevilla,0.7,30.0,1174,26,ESP
255,Vedat Muriqi,Mallorca,0.6,62.5,2329,29,KVX
256,Lucas Boye,Granada CF,0.6,62.1,2555,31,ARG
257,Savio,Girona,0.6,61.3,2989,37,BRA
258,Ángel Correa,Atlético de Madrid,0.6,55.6,1525,32,ARG
259,Gorka Guruzeta,Athletic Club,0.6,51.9,2240,32,ESP
260,Diego Lopez,Valencia CF,0.6,50.0,2671,36,ESP
260,Marcos Llorente,Atlético de Madrid,0.6,50.0,2570,37,ESP
262,Nemanja Maksimovic,Getafe,0.6,44.7,3272,37,SRB
263,José Arnáiz,Osasuna,0.6,42.9,922,26,ESP
264,Abderrahman Rebbach,Alavés,0.6,41.7,713,23,ALG
265,Alex Sola,Alavés,0.6,33.3,1285,31,ESP
266,Leo Baptistao,Almería,0.6,30.0,1843,32,BRA
267,Radamel Falcao,Rayo Vallecano,0.5,100.0,391,22,COL
268,Mikel Oyarzabal,Real Sociedad,0.5,59.1,2157,33,ESP
269,Ilias Akhomach,Villarreal,0.5,56.3,1511,31,MAR
