Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
81,Jonathan Bamba,Celta de Vigo,0.7,39.0,1993,27,CIV
82,Alex Berenguer,Athletic Club,0.7,37.5,1581,35,ESP
82,André Silva,Real Sociedad,0.7,37.5,730,19,POR
82,Lucas Ocampos,Sevilla,0.7,37.5,2885,35,ARG
85,Viktor Tsigankov,Girona,0.7,36.4,2067,30,UKR
86,Luis Rioja,Alavés,0.7,33.3,2511,37,ESP
87,Benito,Las Palmas,0.7,30.0,368,20,ESP
88,Arsen Zakharyan,Real Sociedad,0.7,27.3,1229,29,RUS
89,Ezequiel Ávila,Real Betis,0.7,25.0,1166,23,ARG
90,Carlos Benavidez,Alavés,0.6,50.0,1121,29,URU
91,Savio,Girona,0.6,44.4,2989,37,BRA
92,Jonathan Viera,Almería,0.6,42.3,1541,21,ESP
93,Antonio Sánchez,Mallorca,0.6,39.1,1463,29,ESP
94,Jorge de Frutos,Rayo Vallecano,0.6,37.9,1542,36,ESP
95,Álvaro Garcia,Rayo Vallecano,0.6,37.8,2493,32,ESP
96,Jaime Mata,Getafe,0.6,37.5,1790,35,ESP
97,Rubén Garcia,Osasuna,0.6,35.7,1549,30,ESP
98,Federico Valverde,Real Madrid,0.6,33.9,2910,37,URU
99,Florian Lejeune,Rayo Vallecano,0.6,31.3,3328,37,FRA
100,Antonio Puertas,Granada CF,0.6,26.3,720,27,ESP
101,Pablo Ibánez,Osasuna,0.6,25.9,1141,33,ESP
102,Brais Méndez,Real Sociedad,0.6,25.8,2420,32,ESP
103,Benat Turrientes,Real Sociedad,0.5,43.5,1688,29,ESP
104,Luka Modric,Real Madrid,0.5,40.0,1685,32,CRO
104,Rodrigo De Paul,Atlético de Madrid,0.5,40.0,2084,34,ARG
106,Ilkay Gündogan,Barcelona,0.5,39.5,2997,36,GER
107,Kike Pérez,Rayo Vallecano,0.5,38.5,828,24,ESP
108,Maximiliano Gomez,Cádiz,0.5,37.5,1157,31,URU
108,Sergi Darder,Mallorca,0.5,37.5,2154,36,ESP
110,Toni Kroos,Real Madrid,0.5,37.1,2130,33,GER
111,Diego Lopez,Valencia CF,0.5,36.6,2671,36,ESP
112,Lucas Robertone,Almería,0.5,35.1,2391,33,ARG
113,Javier Guerra,Valencia CF,0.5,33.3,2502,36,ESP
113,José Maria Callejon,Granada CF,0.5,33.3,794,25,ESP
115,Alberto Moleiro,Las Palmas,0.5,30.3,1807,28,ESP
116,Oihan Sancet,Athletic Club,0.5,28.6,1991,30,ESP
117,Lucas Boye,Granada CF,0.5,26.8,2555,31,ARG
118,Alex Sola,Alavés,0.5,25.0,1285,31,ESP
119,Abderrahman Rebbach,Alavés,0.5,23.5,713,23,ALG
120,Lucas Vázquez,Real Madrid,0.4,58.3,1410,29,ESP
121,Iván Martin,Girona,0.4,57.9,2744,36,ESP
122,Daniel Carvajal,Real Madrid,0.4,55.6,2172,28,ESP
123,Martin Zubimendi,Real Sociedad,0.4,50.0,2655,31,ESP
124,Pedri,Barcelona,0.4,46.7,1482,24,ESP
125,Oscar Mingueza,Celta de Vigo,0.4,46.4,3002,38,ESP
126,Nemanja Maksimovic,Getafe,0.4,44.1,3272,37,SRB
127,Moi Gomez,Osasuna,0.4,42.1,2010,28,ESP
128,Pablo Barrios,Atlético de Madrid,0.4,41.2,1556,24,ESP
128,Santi Comesana,Villarreal,0.4,41.2,1656,27,ESP
130,Juan Iglesias,Getafe,0.4,40.0,1413,23,ESP
130,Valery Fernández,Girona,0.4,40.0,486,27,ESP
132,Sergio Ramos,Sevilla,0.4,39.3,2518,28,ESP
133,Ronald Araujo,Barcelona,0.4,39.1,1994,25,URU
134,Yan Couto,Girona,0.4,37.9,2245,34,BRA
135,William Carvalho,Real Betis,0.4,37.5,669,22,POR
136,Mikel Vesga,Athletic Club,0.4,36.8,1535,27,ESP
137,Mikel Merino,Real Sociedad,0.4,36.7,2485,32,ESP
138,Pathé Ciss,Rayo Vallecano,0.4,36.4,1658,31,SEN
139,Dion Lopy,Almería,0.4,34.8,1917,30,SEN
140,Luca de la Torre,Celta de Vigo,0.4,33.3,1956,31,USA
141,Kirian Rodriguez,Las Palmas,0.4,32.6,3217,37,ESP
142,Carles Alena,Getafe,0.4,31.3,1007,29,ESP
142,Joao Cancelo,Barcelona,0.4,31.3,2506,32,POR
144,Antonio Raillo,Mallorca,0.4,31.0,2198,26,ESP
145,Robert Navarro,Cádiz,0.4,30.0,1905,28,ESP
