Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
81,Oihan Sancet,Athletic Club,0.13,0.2,1991,30,ESP
81,Oscar de Marcos,Athletic Club,0.13,0.2,2261,28,ESP
83,Adrián Embarba,Almería,0.13,0.1,2485,36,ESP
83,Daniel Carvajal,Real Madrid,0.13,0.1,2172,28,ESP
83,Jon Moncayola,Osasuna,0.13,0.1,1801,33,ESP
83,Lucas Ocampos,Sevilla,0.13,0.1,2885,35,ARG
83,Oscar Rodriguez,Getafe,0.13,0.1,962,24,ESP
83,Rubén Pena,Osasuna,0.13,0.1,2105,29,ESP
89,Darwin Machis,Cádiz,0.13,0.0,782,21,VEN
89,Raul Garcia,Athletic Club,0.13,0.0,404,20,ESP
91,Francisco Garcia,Real Madrid,0.12,0.3,1396,25,ESP
91,Robert Lewandowski,Barcelona,0.12,0.3,2758,35,POL
93,Diego Rico,Getafe,0.12,0.2,2536,32,ESP
94,César Azpilicueta,Atlético de Madrid,0.12,0.1,1421,25,ESP
94,Jesus Navas,Sevilla,0.12,0.1,2010,29,ESP
94,José Gayà,Valencia CF,0.12,0.1,1797,24,ESP
94,Sergi Cardona,Las Palmas,0.12,0.1,2816,35,ESP
98,Ayoze Pérez,Real Betis,0.12,0.0,2307,31,ESP
98,Juan Miranda,Real Betis,0.12,0.0,1860,25,ESP
98,Lucas Pires,Cádiz,0.12,0.0,1527,28,BRA
98,Pepelu,Valencia CF,0.12,0.0,3305,37,ESP
98,Robert Navarro,Cádiz,0.12,0.0,1905,28,ESP
103,Alexander Sørloth,Villarreal,0.11,0.2,2491,34,NOR
103,Federico Valverde,Real Madrid,0.11,0.2,2910,37,URU
103,Gonzalo Villar,Granada CF,0.11,0.2,1785,35,ESP
106,Alberto Moreno,Villarreal,0.11,0.1,1490,27,ESP
106,Antonio Sánchez,Mallorca,0.11,0.1,1463,29,ESP
106,Arnau Martinez,Girona,0.11,0.1,1240,21,ESP
106,Iván Martin,Girona,0.11,0.1,2744,36,ESP
106,Joselu,Real Madrid,0.11,0.1,1676,34,ESP
106,Koke,Atlético de Madrid,0.11,0.1,2502,35,ESP
106,Manu Morlanes,Mallorca,0.11,0.1,1610,35,ESP
106,Nahuel Molina,Atlético de Madrid,0.11,0.1,1855,30,ARG
106,Unai Lopez,Rayo Vallecano,0.11,0.1,2123,35,ESP
115,Álvaro Garcia,Rayo Vallecano,0.11,0.0,2493,32,ESP
115,Inigo Ruiz de Galarreta,Athletic Club,0.11,0.0,2104,29,ESP
115,Myrto Uzuni,Granada CF,0.11,0.0,2459,34,ALB
115,Ricard Sánchez,Granada CF,0.11,0.0,2298,33,ESP
115,Sergio Akieme,Almería,0.11,0.0,1676,19,EQG
120,Adrià Pedrosa,Sevilla,0.1,0.2,1749,31,ESP
120,Benito,Las Palmas,0.1,0.2,368,20,ESP
120,Jesus Areso,Osasuna,0.1,0.2,2661,37,ESP
123,Álex Fernández,Cádiz,0.1,0.1,1283,26,ESP
123,Javier Hernández,Cádiz,0.1,0.1,2517,30,ESP
123,Jon Guridi,Alavés,0.1,0.1,2697,36,ESP
123,José Ángel Carmona,Getafe,0.1,0.1,1312,30,ESP
123,Marvin Park,Las Palmas,0.1,0.1,1852,31,ESP
123,Mikel Merino,Real Sociedad,0.1,0.1,2485,32,ESP
123,Munir El Haddadi,Las Palmas,0.1,0.1,2470,38,MAR
123,Thierry Correia,Valencia CF,0.1,0.1,2157,31,POR
131,Alfonso Espino,Rayo Vallecano,0.1,0.0,2512,31,URU
131,Valery Fernández,Girona,0.1,0.0,486,27,ESP
133,William Carvalho,Real Betis,0.09,0.4,669,22,POR
134,Fran Pérez,Valencia CF,0.09,0.2,2069,32,ESP
134,Pablo Ibánez,Osasuna,0.09,0.2,1141,33,ESP
136,Abdon Prats,Mallorca,0.09,0.1,1258,34,ESP
136,Carles Alena,Getafe,0.09,0.1,1007,29,ESP
136,Dodi Lukebakio,Sevilla,0.09,0.1,1124,23,BEL
136,Eduardo Camavinga,Real Madrid,0.09,0.1,1824,31,FRA
136,Enzo Loiodice,Las Palmas,0.09,0.1,1792,34,FRA
136,Hamari Traoré,Real Sociedad,0.09,0.1,2296,31,MLI
136,Javi Lopez,Alavés,0.09,0.1,2387,32,ESP
136,Kike Garcia,Alavés,0.09,0.1,1421,33,ESP
136,Oriol Romeu,Barcelona,0.09,0.1,930,28,ESP
136,Pep Chavarria,Rayo Vallecano,0.09,0.1,1164,22,ESP
136,Ruben Sobrino,Cádiz,0.09,0.1,1648,32,ESP
147,Kike Pérez,Rayo Vallecano,0.09,0.0,828,24,ESP
147,Luis Milla,Getafe,0.09,0.0,2123,27,ESP
147,Yuri Berchiche,Athletic Club,0.09,0.0,1931,27,ESP
150,Diego Lopez,Valencia CF,0.08,0.2,2671,36,ESP
150,Juanlu Sánchez,Sevilla,0.08,0.2,1174,26,ESP
150,Lucas Robertone,Almería,0.08,0.2,2391,33,ARG
150,Roger,Cádiz,0.08,0.2,1367,23,ESP
150,Willian José,Real Betis,0.08,0.2,1978,33,BRA
155,Álvaro Morata,Atlético de Madrid,0.08,0.1,1909,32,ESP
155,Gonzalo Escalante,Cádiz,0.08,0.1,1702,25,ARG
155,Jaime Mata,Getafe,0.08,0.1,1790,35,ESP
155,Javi Galán,Real Sociedad,0.08,0.1,1159,19,ESP
155,Jules Koundé,Barcelona,0.08,0.1,2899,35,FRA
155,Kieran Tierney,Real Sociedad,0.08,0.1,1243,20,SCO
155,Kirian Rodriguez,Las Palmas,0.08,0.1,3217,37,ESP
155,Marc Cardona,Las Palmas,0.08,0.1,724,26,ESP
155,Marc Roca,Real Betis,0.08,0.1,1986,26,ESP
155,Ronald Araujo,Barcelona,0.08,0.1,1994,25,URU
155,Toni Lato,Mallorca,0.08,0.1,1546,28,ESP
155,Umar Sadiq,Real Sociedad,0.08,0.1,1074,26,NGA
167,Aimar Oroz,Osasuna,0.08,0.0,2350,33,ESP
167,Andoni Gorosabel,Alavés,0.08,0.0,2863,36,ESP
167,Fermin Lopez,Barcelona,0.08,0.0,1444,31,ESP
167,Juanmi Latasa,Getafe,0.08,0.0,1553,32,ESP
167,Moi Gomez,Osasuna,0.08,0.0,2010,28,ESP
167,Oscar Melendo,Granada CF,0.08,0.0,1126,26,ESP
167,Radamel Falcao,Rayo Vallecano,0.08,0.0,391,22,COL
167,Unai Gomez,Athletic Club,0.08,0.0,867,25,ESP
167,Yangel Herrera,Girona,0.08,0.0,2120,29,VEN
176,Antonio Puertas,Granada CF,0.07,0.3,720,27,ESP
177,Aihen Munoz,Real Sociedad,0.07,0.2,1120,21,ESP
