Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
82,Ander Herrera,Athletic Club,3.0,1.9,1023,23,ESP
83,Javier Munoz,Las Palmas,3.0,1.8,2646,37,ESP
84,Álvaro Morata,Atlético de Madrid,3.0,1.6,1909,32,ESP
85,Luiz Henrique,Real Betis,3.0,1.5,611,14,BRA
86,Mikel Oyarzabal,Real Sociedad,3.0,1.3,2157,33,ESP
86,Roger,Cádiz,3.0,1.3,1367,23,ESP
88,Marc Pubill,Almería,3.0,1.2,1889,23,ESP
89,Alejandro Catena,Osasuna,3.0,1.0,2536,30,ESP
90,William Carvalho,Real Betis,3.0,0.7,669,22,POR
91,Cristhian Stuani,Girona,3.0,0.5,782,31,URU
92,Oscar Mingueza,Celta de Vigo,2.0,6.2,3002,38,ESP
93,Bryan Zaragoza,Granada CF,2.0,4.2,1640,21,ESP
94,Pedri,Barcelona,2.0,4.1,1482,24,ESP
95,Ángel Correa,Atlético de Madrid,2.0,3.8,1525,32,ARG
96,Jonathan Bamba,Celta de Vigo,2.0,3.7,1993,27,CIV
96,Sergi Cardona,Las Palmas,2.0,3.7,2816,35,ESP
98,Adrián Embarba,Almería,2.0,3.6,2485,36,ESP
99,Rubén Garcia,Osasuna,2.0,3.5,1549,30,ESP
100,Rubén Pena,Osasuna,2.0,3.0,2105,29,ESP
101,Iván Alejo,Cádiz,2.0,2.8,1702,30,ESP
101,Javier Hernández,Cádiz,2.0,2.8,2517,30,ESP
101,Jesus Navas,Sevilla,2.0,2.8,2010,29,ESP
101,Kirian Rodriguez,Las Palmas,2.0,2.8,3217,37,ESP
101,Munir El Haddadi,Las Palmas,2.0,2.8,2470,38,MAR
106,Nabil Fekir,Real Betis,2.0,2.7,1049,19,FRA
106,Unai Lopez,Rayo Vallecano,2.0,2.7,2123,35,ESP
108,Jules Koundé,Barcelona,2.0,2.6,2899,35,FRA
109,Ilias Akhomach,Villarreal,2.0,2.5,1511,31,MAR
109,José Gayà,Valencia CF,2.0,2.5,1797,24,ESP
109,Thierry Correia,Valencia CF,2.0,2.5,2157,31,POR
112,Arsen Zakharyan,Real Sociedad,2.0,2.3,1229,29,RUS
113,Hamari Traoré,Real Sociedad,2.0,2.2,2296,31,MLI
114,Marcos Acuna,Sevilla,2.0,2.1,1296,21,ARG
114,Sergi Canos,Valencia CF,2.0,2.1,1234,27,ESP
116,Joselu,Real Madrid,2.0,2.0,1676,34,ESP
116,Manu Morlanes,Mallorca,2.0,2.0,1610,35,ESP
116,Marvin Park,Las Palmas,2.0,2.0,1852,31,ESP
116,Pablo Fornals,Real Betis,2.0,2.0,1153,15,ESP
120,César Azpilicueta,Atlético de Madrid,2.0,1.9,1421,25,ESP
120,Daley Blind,Girona,2.0,1.9,2971,34,NED
120,Ferran Torres,Barcelona,2.0,1.9,1204,29,ESP
123,Alberto Moreno,Villarreal,2.0,1.8,1490,27,ESP
123,Ante Budimir,Osasuna,2.0,1.8,2449,33,CRO
123,Eduardo Camavinga,Real Madrid,2.0,1.8,1824,31,FRA
123,Ianis Hagi,Alavés,2.0,1.8,798,22,ROU
123,Sheraldo Becker,Real Sociedad,2.0,1.8,772,15,SUR
123,Vedat Muriqi,Mallorca,2.0,1.8,2329,29,KVX
129,Marc Roca,Real Betis,2.0,1.7,1986,26,ESP
129,Ronald Araujo,Barcelona,2.0,1.7,1994,25,URU
131,Gonzalo Escalante,Cádiz,2.0,1.6,1702,25,ARG
132,Arnau Martinez,Girona,2.0,1.5,1240,21,ESP
132,Pablo Torre,Girona,2.0,1.5,690,26,ESP
134,Carlos Neva,Granada CF,2.0,1.4,3152,36,ESP
134,Kike Garcia,Alavés,2.0,1.4,1421,33,ESP
136,Giuliano Simeone,Alavés,2.0,1.2,628,14,ARG
136,Ramon Terrats,Villarreal,2.0,1.2,780,19,ESP
138,Damian Suarez,Getafe,2.0,1.1,1306,16,URU
138,Goncalo Guedes,Villarreal,2.0,1.1,951,17,POR
138,Juanlu Sánchez,Sevilla,2.0,1.1,1174,26,ESP
138,Kieran Tierney,Real Sociedad,2.0,1.1,1243,20,SCO
138,Pablo Ibánez,Osasuna,2.0,1.1,1141,33,ESP
143,Daniel Ceballos,Real Madrid,2.0,1.0,586,20,ESP
143,Johnny,Real Betis,2.0,1.0,1331,17,USA
143,Juan Iglesias,Getafe,2.0,1.0,1413,23,ESP
146,Aihen Munoz,Real Sociedad,2.0,0.9,1120,21,ESP
146,Inigo Lekue,Athletic Club,2.0,0.9,2001,27,ESP
146,Pablo Maffeo,Mallorca,2.0,0.9,1456,22,ARG
146,Youssef En-Nesyri,Sevilla,2.0,0.9,2573,33,MAR
150,Andreas Christensen,Barcelona,2.0,0.8,1990,30,DEN
150,Antonio Raillo,Mallorca,2.0,0.8,2198,26,ESP
150,Damian Rodriguez,Celta de Vigo,2.0,0.8,257,5,ESP
150,Igor Zubeldia,Real Sociedad,2.0,0.8,2523,30,ESP
150,Sergi Roberto,Barcelona,2.0,0.8,863,14,ESP
155,Antonio Puertas,Granada CF,2.0,0.6,720,27,ESP
155,Hugo Duro,Valencia CF,2.0,0.6,2994,37,ESP
157,Cyle Larin,Mallorca,2.0,0.5,1823,35,CAN
157,Héctor Fort,Barcelona,2.0,0.5,320,7,ESP
159,Ilaix Moriba,Getafe,2.0,0.4,606,14,GUI
159,Raul de Tomas,Rayo Vallecano,2.0,0.4,1277,25,ESP
161,Pepelu,Valencia CF,1.0,4.5,3305,37,ESP
162,Ivan Rakitic,Sevilla,1.0,4.1,1425,18,CRO
163,Ayoze Pérez,Real Betis,1.0,3.0,2307,31,ESP
163,Myrto Uzuni,Granada CF,1.0,3.0,2459,34,ALB
165,Alfonso Espino,Rayo Vallecano,1.0,2.9,2512,31,URU
165,Álvaro Garcia,Rayo Vallecano,1.0,2.9,2493,32,ESP
167,Inigo Ruiz de Galarreta,Athletic Club,1.0,2.5,2104,29,ESP
167,Oliver Torres,Sevilla,1.0,2.5,1620,27,ESP
169,Juan Miranda,Real Betis,1.0,2.4,1860,25,ESP
169,Robert Navarro,Cádiz,1.0,2.4,1905,28,ESP
171,Iván Balliu,Rayo Vallecano,1.0,2.3,2876,33,ALB
172,Aimar Oroz,Osasuna,1.0,2.2,2350,33,ESP
172,Isi Palazon,Rayo Vallecano,1.0,2.2,2810,37,ESP
174,Luis Milla,Getafe,1.0,2.1,2123,27,ESP
175,Martin Zubimendi,Real Sociedad,1.0,2.0,2655,31,ESP
175,Yuri Berchiche,Athletic Club,1.0,2.0,1931,27,ESP
177,Giovanni González,Mallorca,1.0,1.9,2463,34,URU
177,Javier Guerra,Valencia CF,1.0,1.9,2502,36,ESP
179,Antonio Sánchez,Mallorca,1.0,1.8,1463,29,ESP
179,Enzo Loiodice,Las Palmas,1.0,1.8,1792,34,FRA
179,Hugo Álvarez,Celta de Vigo,1.0,1.8,763,12,ESP
182,Ruben Sobrino,Cádiz,1.0,1.7,1648,32,ESP
183,Jaime Mata,Getafe,1.0,1.6,1790,35,ESP
183,José Arnáiz,Osasuna,1.0,1.6,922,26,ESP
183,Memphis Depay,Atlético de Madrid,1.0,1.6,888,23,NED
183,Rubén Alcaraz,Cádiz,1.0,1.6,3138,36,ESP
187,Álex Balde,Barcelona,1.0,1.5,1378,18,ESP
187,Rubén Duarte,Alavés,1.0,1.5,1875,28,ESP
189,Álex Fernández,Cádiz,1.0,1.4,1283,26,ESP
189,Aurélien Tchouaméni,Real Madrid,1.0,1.4,1987,27,FRA
189,Christopher Ramos,Cádiz,1.0,1.4,2627,37,ESP
189,Gavi,Barcelona,1.0,1.4,943,12,ESP
189,José Ángel Carmona,Getafe,1.0,1.4,1312,30,ESP
189,José Maria Callejon,Granada CF,1.0,1.4,794,25,ESP
189,Oscar Rodriguez,Getafe,1.0,1.4,962,24,ESP
196,Borja Mayoral,Getafe,1.0,1.3,2162,27,ESP
196,Sergio Camello,Rayo Vallecano,1.0,1.3,1668,31,ESP
196,Toni Lato,Mallorca,1.0,1.3,1546,28,ESP
199,Abdon Prats,Mallorca,1.0,1.2,1258,34,ESP
199,Franco Cervi,Celta de Vigo,1.0,1.2,537,17,ARG
199,Hector Bellerin,Real Betis,1.0,1.2,1714,23,ESP
199,Jaume Costa,Mallorca,1.0,1.2,1681,30,ESP
199,Mikel Vesga,Athletic Club,1.0,1.2,1535,27,ESP
199,Pep Chavarria,Rayo Vallecano,1.0,1.2,1164,22,ESP
205,Ander Barrenetxea,Real Sociedad,1.0,1.1,1436,29,ESP
205,Antonio Blanco,Alavés,1.0,1.1,2436,33,ESP
205,Djibril Sow,Sevilla,1.0,1.1,1469,24,SUI
205,Dodi Lukebakio,Sevilla,1.0,1.1,1124,23,BEL
205,Facundo Pellistri,Granada CF,1.0,1.1,1220,15,URU
205,Hugo Sotelo,Celta de Vigo,1.0,1.1,718,17,ESP
205,Javi Galán,Real Sociedad,1.0,1.1,1159,19,ESP
205,Mario Hermoso,Atlético de Madrid,1.0,1.1,2556,31,ESP
205,Mika Mármol,Las Palmas,1.0,1.1,3181,36,ESP
214,Abner,Real Betis,1.0,1.0,1397,23,BRA
214,Álex Centelles,Almería,1.0,1.0,979,14,ESP
214,Carles Alena,Getafe,1.0,1.0,1007,29,ESP
214,David Garcia,Osasuna,1.0,1.0,2336,27,ESP
214,Étienne Capoue,Villarreal,1.0,1.0,1444,32,FRA
214,Martin Valjent,Mallorca,1.0,1.0,2354,28,SVK
214,Pablo Barrios,Atlético de Madrid,1.0,1.0,1556,24,ESP
214,Samu,Mallorca,1.0,1.0,2305,34,POR
222,Alberto Mari,Valencia CF,1.0,0.9,264,16,ESP
222,André Almeida,Valencia CF,1.0,0.9,969,18,POR
222,Gonzalo Melero,Almería,1.0,0.9,1093,28,ESP
222,Juan Foyth,Villarreal,1.0,0.9,1063,12,ARG
222,Nacho Fernandez,Real Madrid,1.0,0.9,1739,29,ESP
222,Oriol Romeu,Barcelona,1.0,0.9,930,28,ESP
222,Randy Nteka,Rayo Vallecano,1.0,0.9,563,16,ANG
222,Umar Sadiq,Real Sociedad,1.0,0.9,1074,26,NGA
230,Aitor Ruibal,Real Betis,1.0,0.8,1015,18,ESP
230,Carles Pérez,Celta de Vigo,1.0,0.8,768,16,ESP
230,David Alaba,Real Madrid,1.0,0.8,1156,14,AUT
230,Florian Lejeune,Rayo Vallecano,1.0,0.8,3328,37,FRA
230,Ignasi Miquel,Granada CF,1.0,0.8,2991,34,ESP
230,Jorge Cuenca,Villarreal,1.0,0.8,1961,29,ESP
230,Omar Alderete,Getafe,1.0,0.8,2194,31,PAR
230,Raul Garcia,Osasuna,1.0,0.8,1347,35,ESP
230,Sergi Guardiola,Cádiz,1.0,0.8,475,22,ESP
230,Sergio Rodelas,Granada CF,1.0,0.8,122,3,ESP
240,Asier Villalibre,Athletic Club,1.0,0.7,503,18,ESP
240,Borja Iglesias,Real Betis,1.0,0.7,404,11,ESP
240,Boubakary Soumaré,Sevilla,1.0,0.7,2286,28,FRA
240,Carlos Benavidez,Alavés,1.0,0.7,1121,29,URU
240,Youssouf Sabaly,Real Betis,1.0,0.7,1048,12,SEN
245,Anastasios Douvikas,Celta de Vigo,1.0,0.6,886,32,GRE
245,Benat Turrientes,Real Sociedad,1.0,0.6,1688,29,ESP
245,Juan Brandariz,Almería,1.0,0.6,2432,31,ESP
245,Juan Cruz,Osasuna,1.0,0.6,1663,26,ESP
245,Juanmi,Cádiz,1.0,0.6,872,16,ESP
245,Kamil Jozwiak,Granada CF,1.0,0.6,573,11,POL
245,Marc Cardona,Las Palmas,1.0,0.6,724,26,ESP
245,Raul Albiol,Villarreal,1.0,0.6,2035,26,ESP
245,Samuel Omorodion,Alavés,1.0,0.6,2003,35,ESP
254,José Copete,Mallorca,1.0,0.5,1335,19,ESP
254,Loic Badé,Sevilla,1.0,0.5,2283,28,FRA
254,Reinildo,Atlético de Madrid,1.0,0.5,723,16,MOZ
254,Yerson Mosquera,Villarreal,1.0,0.5,1228,16,COL
258,Benito,Las Palmas,1.0,0.4,368,20,ESP
258,Enes Ünal,Getafe,1.0,0.4,138,3,TUR
258,Faitout Maouassa,Granada CF,1.0,0.4,244,6,FRA
258,Jailson,Celta de Vigo,1.0,0.4,893,14,BRA
258,Javier Manquillo,Celta de Vigo,1.0,0.4,746,12,ESP
258,Nemanja Gudelj,Sevilla,1.0,0.4,1744,22,SRB
258,Sory Kaba,Las Palmas,1.0,0.4,720,17,GUI
265,Jon Pacheco,Real Sociedad,1.0,0.3,1521,23,ESP
265,Selim Amallah,Valencia CF,1.0,0.3,597,20,MAR
267,Carlos Fernández,Real Sociedad,1.0,0.2,406,10,ESP
267,Famara Diédhiou,Granada CF,1.0,0.2,82,8,SEN
267,Hugo González,Valencia CF,1.0,0.2,79,9,ESP
267,Victor Chust,Cádiz,1.0,0.2,1870,22,ESP
267,Yannick Carrasco,Atlético de Madrid,1.0,0.2,223,3,BEL
272,Aritz Elustondo,Real Sociedad,1.0,0.1,808,15,ESP
