Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
93,Thierry Correia,Valencia CF,2.0,49.0,2157,31,POR
94,Álex Fernández,Cádiz,2.0,29.0,1283,26,ESP
95,Raul Garcia,Athletic Club,2.0,9.0,404,20,ESP
96,Pepelu,Valencia CF,1.9,69.0,3305,37,ESP
97,Hamari Traoré,Real Sociedad,1.9,48.0,2296,31,MLI
98,Jesus Navas,Sevilla,1.9,42.0,2010,29,ESP
99,Lucas Vázquez,Real Madrid,1.9,29.0,1410,29,ESP
100,Yangel Herrera,Girona,1.9,45.0,2120,29,VEN
101,Lucas Torro,Osasuna,1.9,37.0,1788,28,ESP
102,Inigo Lekue,Athletic Club,1.9,42.0,2001,27,ESP
103,Juan Cruz,Osasuna,1.9,36.0,1663,26,ESP
104,Juanlu Sánchez,Sevilla,1.9,25.0,1174,26,ESP
105,Guido Rodriguez,Real Betis,1.9,39.0,1849,24,ARG
106,José Gayà,Valencia CF,1.9,37.0,1797,24,ESP
107,Pep Chavarria,Rayo Vallecano,1.9,24.0,1164,22,ESP
108,Álvaro Vallés,Las Palmas,1.8,66.0,3264,37,ESP
109,Martin Zubimendi,Real Sociedad,1.8,53.0,2655,31,ESP
110,Andreas Christensen,Barcelona,1.8,40.0,1990,30,DEN
111,Daniel Carvajal,Real Madrid,1.8,44.0,2172,28,ESP
112,Hector Bellerin,Real Betis,1.8,35.0,1714,23,ESP
113,Sergio Akieme,Almería,1.8,33.0,1676,19,EQG
114,Miguel Gutiérrez,Girona,1.7,56.0,3037,35,ESP
115,Iván Balliu,Rayo Vallecano,1.7,55.0,2876,33,ALB
116,Ricard Sánchez,Granada CF,1.7,44.0,2298,33,ESP
117,Adrià Pedrosa,Sevilla,1.7,34.0,1749,31,ESP
118,Jaume Costa,Mallorca,1.7,32.0,1681,30,ESP
119,Omar Mascarell,Mallorca,1.7,29.0,1573,29,EQG
120,Oriol Romeu,Barcelona,1.7,18.0,930,28,ESP
121,Gonzalo Escalante,Cádiz,1.7,33.0,1702,25,ARG
122,Jaime Mata,Getafe,1.6,31.0,1790,35,ESP
123,Oscar Valentin,Rayo Vallecano,1.6,48.0,2700,34,ESP
124,Alfonso Espino,Rayo Vallecano,1.6,46.0,2512,31,URU
124,Lucas Boye,Granada CF,1.6,46.0,2555,31,ARG
126,Alberto Moreno,Villarreal,1.6,27.0,1490,27,ESP
127,Benat Prados,Athletic Club,1.6,26.0,1450,26,ESP
128,Hugo Guillamon,Valencia CF,1.6,23.0,1305,26,ESP
