Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
81,Takefusa Kubo,Real Sociedad,3.5,7.0,2155,30,JPN
83,Ander Barrenetxea,Real Sociedad,3.5,4.0,1436,29,ESP
84,Anthony Lozano,Almería,3.5,3.0,866,19,HON
85,Aimar Oroz,Osasuna,3.5,2.0,2350,33,ESP
86,Mikel Merino,Real Sociedad,3.4,5.0,2485,32,ESP
87,Raul de Tomas,Rayo Vallecano,3.4,1.0,1277,25,ESP
88,Florian Lejeune,Rayo Vallecano,3.3,3.0,3328,37,FRA
88,Rubén Alcaraz,Cádiz,3.3,3.0,3138,36,ESP
90,Abdon Prats,Mallorca,3.2,6.0,1258,34,ESP
91,Ilias Akhomach,Villarreal,3.2,2.0,1511,31,MAR
92,Abdessamad Ezzalzouli,Real Betis,3.2,1.0,921,28,MAR
93,Antonio Puertas,Granada CF,3.2,0.0,720,27,ESP
94,Pedri,Barcelona,3.1,4.0,1482,24,ESP
95,Jonathan Bamba,Celta de Vigo,3.0,3.0,1993,27,CIV
96,Eric Garcia,Girona,2.9,5.0,2697,32,ESP
96,Iván Martin,Girona,2.9,5.0,2744,36,ESP
98,Daniel Parejo,Villarreal,2.9,3.0,2586,33,ESP
99,Iker Muniain,Athletic Club,2.9,2.0,585,20,ESP
99,Roger,Cádiz,2.9,2.0,1367,23,ESP
101,Rodrigo Riquelme,Atlético de Madrid,2.8,3.0,1522,34,ESP
102,Ezequiel Ávila,Real Betis,2.8,2.0,1166,23,ARG
102,Miguel Gutiérrez,Girona,2.8,2.0,3037,35,ESP
104,Sergi Canos,Valencia CF,2.8,1.0,1234,27,ESP
105,Ianis Hagi,Alavés,2.8,0.0,798,22,ROU
106,Javier Guerra,Valencia CF,2.7,4.0,2502,36,ESP
106,Martin Zubimendi,Real Sociedad,2.7,4.0,2655,31,ESP
108,Juanmi,Cádiz,2.7,3.0,872,16,ESP
108,Mikel Vesga,Athletic Club,2.7,3.0,1535,27,ESP
110,Radamel Falcao,Rayo Vallecano,2.7,1.0,391,22,COL
110,Sergi Cardona,Las Palmas,2.7,1.0,2816,35,ESP
112,Jorge de Frutos,Rayo Vallecano,2.6,2.0,1542,36,ESP
112,Oscar Mingueza,Celta de Vigo,2.6,2.0,3002,38,ESP
114,Antonio Sánchez,Mallorca,2.5,3.0,1463,29,ESP
115,Assane Diao,Real Betis,2.5,2.0,1052,18,ESP
115,Facundo Pellistri,Granada CF,2.5,2.0,1220,15,URU
115,Javier Munoz,Las Palmas,2.5,2.0,2646,37,ESP
115,Vitor Roque,Barcelona,2.5,2.0,319,14,BRA
119,Luca de la Torre,Celta de Vigo,2.5,1.0,1956,31,USA
120,Edgar González,Almería,2.4,2.0,2528,31,ESP
121,Arsen Zakharyan,Real Sociedad,2.4,1.0,1229,29,RUS
121,Giuliano Simeone,Alavés,2.4,1.0,628,14,ARG
123,Williot Swedberg,Celta de Vigo,2.3,5.0,434,15,SWE
124,Goncalo Guedes,Villarreal,2.3,3.0,951,17,POR
124,Rubén Garcia,Osasuna,2.3,3.0,1549,30,ESP
126,Carlos Vicente,Alavés,2.3,2.0,1118,18,ESP
127,Pablo Ibánez,Osasuna,2.3,1.0,1141,33,ESP
127,Randy Nteka,Rayo Vallecano,2.3,1.0,563,16,ANG
127,Ronald Araujo,Barcelona,2.3,1.0,1994,25,URU
130,Sergi Darder,Mallorca,2.2,2.0,2154,36,ESP
131,Nabil Fekir,Real Betis,2.2,1.0,1049,19,FRA
132,Kirian Rodriguez,Las Palmas,2.1,6.0,3217,37,ESP
133,David Lopez,Girona,2.1,3.0,1975,25,ESP
134,Alberto Mari,Valencia CF,2.1,1.0,264,16,ESP
134,Gonzalo Escalante,Cádiz,2.1,1.0,1702,25,ARG
134,Robert Navarro,Cádiz,2.1,1.0,1905,28,ESP
