Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
404,Álvaro Odriozola,Real Sociedad,2.0,0.5,397,9,ESP
404,Arda Güler,Real Madrid,2.0,0.5,373,10,TUR
404,Benito,Las Palmas,2.0,0.5,368,20,ESP
404,Joan Jordán,Sevilla,2.0,0.5,378,8,ESP
404,Matias Arezo,Granada CF,2.0,0.5,359,14,URU
404,Mauro Arambarri,Getafe,2.0,0.5,337,7,URU
404,Tadeo Allende,Celta de Vigo,2.0,0.5,330,10,ARG
411,Fernando,Sevilla,2.0,0.4,459,8,BRA
411,Kamil Piatkowski,Granada CF,2.0,0.4,506,9,POL
411,Luka Romero,Almería,2.0,0.4,434,13,ARG
414,Imanol Garcia de Albeniz,Athletic Club,2.0,0.3,523,9,ESP
414,Stefan Mitrovic,Getafe,2.0,0.3,700,11,SRB
416,Adrià Altimira,Villarreal,2.0,0.2,779,11,ESP
416,Aissa Mandi,Villarreal,2.0,0.2,1113,16,ALG
416,Aleksandar Sedlar,Alavés,2.0,0.2,948,11,SRB
416,Dani Garcia,Athletic Club,2.0,0.2,738,17,ESP
416,Domingos Duarte,Getafe,2.0,0.2,905,15,POR
416,Jailson,Celta de Vigo,2.0,0.2,893,14,BRA
416,Mouctar Diakhaby,Valencia CF,2.0,0.2,1071,14,GUI
423,Carl Starfelt,Celta de Vigo,2.0,0.1,2218,27,SWE
423,Chadi Riad,Real Betis,2.0,0.1,2164,26,MAR
423,Giorgi Mamardashvili,Valencia CF,2.0,0.1,3285,37,GEO
423,Jorge Herrando,Osasuna,2.0,0.1,1644,19,ESP
423,José Giménez,Atlético de Madrid,2.0,0.1,1323,22,URU
423,Miguel Rubio,Granada CF,2.0,0.1,1559,19,ESP
423,Ørjan Håskjold Nyland,Sevilla,2.0,0.1,2160,24,NOR
423,Stole Dimitrievski,Rayo Vallecano,2.0,0.1,3330,37,MKD
431,Alberto Perea,Granada CF,1.0,45.0,2,2,ESP
432,Borja Vázquez,Cádiz,1.0,30.0,3,1,ESP
433,Milutin Osmajic,Cádiz,1.0,22.5,4,1,MNE
434,Alberto Soro,Granada CF,1.0,12.9,7,1,ESP
435,Marciano Sanca,Almería,1.0,2.4,37,6,GNB
436,Pablo Busto,Real Betis,1.0,2.1,42,2,ESP
437,Darko Brasanac,Osasuna,1.0,2.0,46,2,SRB
438,Álvaro Negredo,Cádiz,1.0,1.9,48,7,ESP
439,Antal Yaakobishvili,Girona,1.0,1.5,60,1,HUN
440,Juan Cruz,Real Betis,1.0,1.3,71,5,ESP
441,Marc Guiu,Barcelona,1.0,1.2,73,3,ESP
442,Famara Diédhiou,Granada CF,1.0,1.1,82,8,SEN
443,Diadie Samassékou,Cádiz,1.0,1.0,87,4,MLI
444,Jon Magunazelaia,Real Sociedad,1.0,0.8,118,5,ESP
445,Cristian Herrera,Las Palmas,1.0,0.6,159,8,ESP
445,Federico San Emeterio,Cádiz,1.0,0.6,155,4,ESP
447,Thomas Lemar,Atlético de Madrid,1.0,0.5,166,3,FRA
448,Mohamed-Ali Cho,Real Sociedad,1.0,0.4,239,11,FRA
448,Wilson Manafa,Granada CF,1.0,0.4,241,4,POR
450,Luiz Felipe,Real Betis,1.0,0.3,360,4,ITA
450,Malcom Ares,Athletic Club,1.0,0.3,258,12,ESP
450,Marcao,Sevilla,1.0,0.3,354,7,BRA
450,Thibaut Courtois,Real Madrid,1.0,0.3,333,4,BEL
450,Vitor Roque,Barcelona,1.0,0.3,319,14,BRA
455,Aleksandar Radovanovic,Almería,1.0,0.2,571,9,SRB
455,Carlos Fernández,Real Sociedad,1.0,0.2,406,10,ESP
455,Houboulang Mendes,Almería,1.0,0.2,396,7,GNB
455,Joseph Aidoo,Celta de Vigo,1.0,0.2,407,6,GHA
455,Kaiky,Almería,1.0,0.2,520,8,BRA
455,Marcos Pena,Almería,1.0,0.2,439,7,ESP
455,Matteo Gabbia,Villarreal,1.0,0.2,478,7,ITA
455,Unai Garcia,Osasuna,1.0,0.2,559,9,ESP
463,Augusto Batalla,Granada CF,1.0,0.1,1530,17,ARG
463,Carlos Dotor,Celta de Vigo,1.0,0.1,702,17,ESP
463,Cenk Özkacar,Valencia CF,1.0,0.1,1595,23,TUR
463,Claudio Bravo,Real Betis,1.0,0.1,630,7,CHI
463,Francis Coquelin,Villarreal,1.0,0.1,909,17,FRA
463,Inigo Martinez,Barcelona,1.0,0.1,1293,20,ESP
463,Iván Villar,Celta de Vigo,1.0,0.1,1015,12,ESP
463,Javier Manquillo,Celta de Vigo,1.0,0.1,746,12,ESP
463,Marko Dmitrovic,Sevilla,1.0,0.1,1170,13,SRB
463,Sokratis Papastathopoulos,Real Betis,1.0,0.1,1135,15,GRE
463,Stefan Savic,Atlético de Madrid,1.0,0.1,1631,23,MNE
474,Alex Remiro,Real Sociedad,1.0,0.0,3276,37,ESP
474,Andriy Lunin,Real Madrid,1.0,0.0,1890,21,UKR
474,Cristhian Mosquera,Valencia CF,1.0,0.0,3074,36,ESP
474,Jeremias Ledesma,Cádiz,1.0,0.0,3049,34,ARG
474,Marc-Andre ter Stegen,Barcelona,1.0,0.0,2520,28,GER
474,Saul Coco,Las Palmas,1.0,0.0,2293,30,EQG
474,Sergio Herrera,Osasuna,1.0,0.0,2870,32,ESP
474,Unai Simon,Athletic Club,1.0,0.0,3184,36,ESP
