Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
79,Robert Lewandowski,Barcelona,27.0,0.9,2758,35,POL
82,Arsen Zakharyan,Real Sociedad,26.0,1.9,1229,29,RUS
82,Ferran Torres,Barcelona,26.0,1.9,1204,29,ESP
84,Largie Ramazani,Almería,26.0,1.5,1560,29,BEL
85,Aimar Oroz,Osasuna,26.0,1.0,2350,33,ESP
86,Koke,Atlético de Madrid,26.0,0.9,2502,35,ESP
86,Lucas Boye,Granada CF,26.0,0.9,2555,31,ARG
88,José Gayà,Valencia CF,25.0,1.3,1797,24,ESP
89,Johan Mojica,Osasuna,25.0,1.1,2041,30,COL
90,Ianis Hagi,Alavés,24.0,2.7,798,22,ROU
91,Moi Gomez,Osasuna,24.0,1.1,2010,28,ESP
92,Munir El Haddadi,Las Palmas,24.0,0.9,2470,38,MAR
93,Iván Balliu,Rayo Vallecano,24.0,0.8,2876,33,ALB
93,Javier Munoz,Las Palmas,24.0,0.8,2646,37,ESP
95,Jørgen Strand Larsen,Celta de Vigo,24.0,0.7,2887,37,NOR
96,Ezequiel Ávila,Real Betis,23.0,1.8,1166,23,ARG
96,Pablo Fornals,Real Betis,23.0,1.8,1153,15,ESP
98,Marcos Acuna,Sevilla,23.0,1.6,1296,21,ARG
99,Oscar Trejo,Rayo Vallecano,23.0,1.5,1381,31,ARG
100,Bryan Zaragoza,Granada CF,23.0,1.3,1640,21,ESP
101,Juan Miranda,Real Betis,23.0,1.1,1860,25,ESP
102,Jules Koundé,Barcelona,23.0,0.7,2899,35,FRA
102,Rubén Alcaraz,Cádiz,23.0,0.7,3138,36,ESP
104,Lucas Pires,Cádiz,22.0,1.3,1527,28,BRA
105,Oliver Torres,Sevilla,22.0,1.2,1620,27,ESP
105,Ruben Sobrino,Cádiz,22.0,1.2,1648,32,ESP
107,Jesus Navas,Sevilla,22.0,1.0,2010,29,ESP
108,Ricard Sánchez,Granada CF,22.0,0.9,2298,33,ESP
109,Oscar Rodriguez,Getafe,21.0,2.0,962,24,ESP
110,Ilias Akhomach,Villarreal,21.0,1.3,1511,31,MAR
111,Frenkie de Jong,Barcelona,21.0,1.2,1637,20,NED
112,Jon Moncayola,Osasuna,21.0,1.0,1801,33,ESP
112,Marc Pubill,Almería,21.0,1.0,1889,23,ESP
114,Daniel Carvajal,Real Madrid,21.0,0.9,2172,28,ESP
114,Mikel Oyarzabal,Real Sociedad,21.0,0.9,2157,33,ESP
116,Giovanni González,Mallorca,21.0,0.8,2463,34,URU
116,Oscar de Marcos,Athletic Club,21.0,0.8,2261,28,ESP
118,Ander Guevara,Alavés,21.0,0.6,2936,37,ESP
119,Alfonso Pedraza,Villarreal,20.0,1.6,1119,19,ESP
120,Sergio Camello,Rayo Vallecano,20.0,1.1,1668,31,ESP
121,Eduardo Camavinga,Real Madrid,20.0,1.0,1824,31,FRA
121,Manuel Sánchez,Celta de Vigo,20.0,1.0,1777,26,ESP
123,Borja Mayoral,Getafe,20.0,0.8,2162,27,ESP
124,Antonio Blanco,Alavés,20.0,0.7,2436,33,ESP
124,Mikel Merino,Real Sociedad,20.0,0.7,2485,32,ESP
126,Carlos Neva,Granada CF,20.0,0.6,3152,36,ESP
126,Nemanja Maksimovic,Getafe,20.0,0.6,3272,37,SRB
128,Hugo Álvarez,Celta de Vigo,19.0,2.2,763,12,ESP
129,Goncalo Guedes,Villarreal,19.0,1.8,951,17,POR
130,Joao Félix,Barcelona,19.0,1.1,1542,30,POR
130,Juanmi Latasa,Getafe,19.0,1.1,1553,32,ESP
132,Enzo Loiodice,Las Palmas,19.0,1.0,1792,34,FRA
132,Jaume Costa,Mallorca,19.0,1.0,1681,30,ESP
134,Leo Baptistao,Almería,19.0,0.9,1843,32,BRA
134,Marc Roca,Real Betis,19.0,0.9,1986,26,ESP
134,Nahuel Molina,Atlético de Madrid,19.0,0.9,1855,30,ARG
137,Fran Pérez,Valencia CF,19.0,0.8,2069,32,ESP
138,Abderrahman Rebbach,Alavés,18.0,2.3,713,23,ALG
139,Carles Alena,Getafe,18.0,1.6,1007,29,ESP
140,Cristian Portu,Girona,18.0,1.3,1271,36,ESP
140,Facundo Pellistri,Granada CF,18.0,1.3,1220,15,URU
142,Fermin Lopez,Barcelona,18.0,1.1,1444,31,ESP
