Rank,Player,Team,Penalties Conceded,Total Matches,Minutes,Matches,Country
83,Cyle Larin,Mallorca,1.0,35.0,1823,35,CAN
83,Sergio Ruiz,Granada CF,1.0,35.0,2501,35,ESP
85,Andoni Gorosabel,Alavés,1.0,36.0,2863,36,ESP
85,Cristhian Mosquera,Valencia CF,1.0,36.0,3074,36,ESP
85,Filip Jörgensen,Villarreal,1.0,36.0,3240,36,DEN
85,Iván Martin,Girona,1.0,36.0,2744,36,ESP
89,Giorgi Mamardashvili,Valencia CF,1.0,37.0,3285,37,GEO
89,Javier Munoz,Las Palmas,1.0,37.0,2646,37,ESP
89,Nemanja Maksimovic,Getafe,1.0,37.0,3272,37,SRB
89,Pepelu,Valencia CF,1.0,37.0,3305,37,ESP
93,David Soria,Getafe,1.0,38.0,3414,38,ESP
93,Oscar Mingueza,Celta de Vigo,1.0,38.0,3002,38,ESP
