Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
389,Hannibal Mejbri,Sevilla,0.2,0.0,101,6,TUN
389,Jeremias Ledesma,Cádiz,0.2,0.0,3049,34,ARG
389,Jesus Santiago,Getafe,0.2,0.0,657,14,ESP
389,Jesus Vázquez,Valencia CF,0.2,0.0,705,20,ESP
389,Jhon Solis,Girona,0.2,0.0,369,18,COL
389,Jon Olasagasti,Real Sociedad,0.2,0.0,351,14,ESP
389,Luiz Felipe,Real Betis,0.2,0.0,360,4,ITA
389,Manuel Trigueros,Villarreal,0.2,0.0,299,14,ESP
389,Miguel Rodriguez,Celta de Vigo,0.2,0.0,291,15,ESP
389,Omar Mascarell,Mallorca,0.2,0.0,1573,29,EQG
389,Roman Yaremchuk,Valencia CF,0.2,0.0,926,25,UKR
389,Saul Coco,Las Palmas,0.2,0.0,2293,30,EQG
389,Tadeo Allende,Celta de Vigo,0.2,0.0,330,10,ARG
389,Theodor Corbeanu,Granada CF,0.2,0.0,196,9,CAN
389,Wilson Manafa,Granada CF,0.2,0.0,241,4,POR
421,Aritz Elustondo,Real Sociedad,0.1,1.0,808,15,ESP
422,Abdul Mumin,Rayo Vallecano,0.1,0.0,1695,20,GHA
422,Alberto Dadie,Real Sociedad,0.1,0.0,27,1,ESP
422,Aleksandar Sedlar,Alavés,0.1,0.0,948,11,SRB
422,Alex Remiro,Real Sociedad,0.1,0.0,3276,37,ESP
422,Álvaro Lemos,Las Palmas,0.1,0.0,251,4,ESP
422,Álvaro Negredo,Cádiz,0.1,0.0,48,7,ESP
422,Álvaro Vallés,Las Palmas,0.1,0.0,3264,37,ESP
422,Ansu Fati,Barcelona,0.1,0.0,47,3,ESP
422,Antal Yaakobishvili,Girona,0.1,0.0,60,1,HUN
422,Antonio Sivera,Alavés,0.1,0.0,3060,34,ESP
422,Aridane Hernández,Rayo Vallecano,0.1,0.0,1691,19,EQG
422,Arthur Vermeeren,Atlético de Madrid,0.1,0.0,159,5,BEL
422,Augusto Batalla,Granada CF,0.1,0.0,1530,17,ARG
422,Carl Starfelt,Celta de Vigo,0.1,0.0,2218,27,SWE
422,Claudio Bravo,Real Betis,0.1,0.0,630,7,CHI
422,Cristian Herrera,Las Palmas,0.1,0.0,159,8,ESP
422,Daley Sinkgraven,Las Palmas,0.1,0.0,375,10,NED
422,David Soria,Getafe,0.1,0.0,3414,38,ESP
422,Domingos Duarte,Getafe,0.1,0.0,905,15,POR
422,Fabio González,Las Palmas,0.1,0.0,121,6,ESP
422,Giorgi Mamardashvili,Valencia CF,0.1,0.0,3285,37,GEO
422,Joan Jordán,Sevilla,0.1,0.0,378,8,ESP
422,Joaquin Panichelli,Alavés,0.1,0.0,222,8,ARG
422,Jon Aramburu,Real Sociedad,0.1,0.0,541,11,VEN
422,Jorge Herrando,Osasuna,0.1,0.0,1644,19,ESP
422,José Campana,Las Palmas,0.1,0.0,166,8,ESP
422,José Giménez,Atlético de Madrid,0.1,0.0,1323,22,URU
422,Kamil Piatkowski,Granada CF,0.1,0.0,506,9,POL
422,Luka Romero,Almería,0.1,0.0,434,13,ARG
422,Malcom Ares,Athletic Club,0.1,0.0,258,12,ESP
422,Marc Guiu,Barcelona,0.1,0.0,73,3,ESP
422,Marc-Andre ter Stegen,Barcelona,0.1,0.0,2520,28,GER
422,Marcao,Sevilla,0.1,0.0,354,7,BRA
422,Mariano Diaz,Sevilla,0.1,0.0,239,9,DOM
422,Marko Milovanovic,Almería,0.1,0.0,301,11,SRB
422,Martin Hongla,Granada CF,0.1,0.0,558,13,CMR
422,Matias Arezo,Granada CF,0.1,0.0,359,14,URU
422,Matteo Gabbia,Villarreal,0.1,0.0,478,7,ITA
422,Mauro Arambarri,Getafe,0.1,0.0,337,7,URU
422,Miguel Rubio,Granada CF,0.1,0.0,1559,19,ESP
422,Mikel Jauregizar,Athletic Club,0.1,0.0,145,7,ESP
422,Mouctar Diakhaby,Valencia CF,0.1,0.0,1071,14,GUI
422,Njegos Petrovic,Granada CF,0.1,0.0,148,10,SRB
422,Pablo Busto,Real Betis,0.1,0.0,42,2,ESP
422,Paulo Gazzaniga,Girona,0.1,0.0,3420,38,ARG
422,Predrag Rajkovic,Mallorca,0.1,0.0,3240,36,SRB
422,Rafa Mir,Sevilla,0.1,0.0,382,15,ESP
422,Santi Garcia,Getafe,0.1,0.0,24,1,ESP
422,Sergio Herrera,Osasuna,0.1,0.0,2870,32,ESP
422,Siebe van der Heyden,Mallorca,0.1,0.0,284,6,BEL
422,Sokratis Papastathopoulos,Real Betis,0.1,0.0,1135,15,GRE
422,Stole Dimitrievski,Rayo Vallecano,0.1,0.0,3330,37,MKD
422,Thomas Lemar,Atlético de Madrid,0.1,0.0,166,3,FRA
422,Unai Marrero,Real Sociedad,0.1,0.0,141,2,ESP
422,Unai Simon,Athletic Club,0.1,0.0,3184,36,ESP
422,Yarek Gasiorowski,Valencia CF,0.1,0.0,732,14,ESP
478,Aaron Escandell,Las Palmas,0.0,0.0,152,2,ESP
478,Aingeru Olabarrieta,Athletic Club,0.0,0.0,8,1,ESP
478,Aitor Fernández,Osasuna,0.0,0.0,550,7,ESP
478,Alberto Perea,Granada CF,0.0,0.0,2,2,ESP
478,Alberto Soro,Granada CF,0.0,0.0,7,1,ESP
478,Alejo Veliz,Sevilla,0.0,0.0,31,6,ARG
478,Aleksandar Radovanovic,Almería,0.0,0.0,571,9,SRB
478,André Ferreira,Granada CF,0.0,0.0,1339,15,POR
478,Andriy Lunin,Real Madrid,0.0,0.0,1890,21,UKR
478,Asier Osambela,Osasuna,0.0,0.0,9,1,ESP
478,Bernardo,Girona,0.0,0.0,2,2,COL
478,Borja Vázquez,Cádiz,0.0,0.0,3,1,ESP
478,Caglar Söyüncü,Atlético de Madrid,0.0,0.0,110,6,TUR
478,César Tárrega,Valencia CF,0.0,0.0,7,1,ESP
478,Cristian Rivero,Valencia CF,0.0,0.0,56,1,ESP
478,Dani Cárdenas,Rayo Vallecano,0.0,0.0,90,1,ESP
478,Daniel Fuzato,Getafe,0.0,0.0,6,1,BRA
478,Darko Brasanac,Osasuna,0.0,0.0,46,2,SRB
478,David Gil,Cádiz,0.0,0.0,371,5,ESP
478,Diadie Samassékou,Cádiz,0.0,0.0,87,4,MLI
478,Diego Hormigo,Sevilla,0.0,0.0,36,1,ESP
478,Diego Marino,Almería,0.0,0.0,90,1,ESP
478,Diego Méndez,Rayo Vallecano,0.0,0.0,4,1,ESP
478,Dominik Greif,Mallorca,0.0,0.0,90,1,SVK
478,Éder Militao,Real Madrid,0.0,0.0,497,10,BRA
478,Eneko Ortiz,Alavés,0.0,0.0,13,1,ESP
478,Eric Bailly,Villarreal,0.0,0.0,838,10,CIV
478,Eric Curbelo,Las Palmas,0.0,0.0,101,2,ESP
478,Etta Eyong,Cádiz,0.0,0.0,20,1,CMR
478,Federico Gattoni,Sevilla,0.0,0.0,9,2,ARG
478,Fernando Martinez,Almería,0.0,0.0,360,4,ESP
478,Filip Jörgensen,Villarreal,0.0,0.0,3240,36,DEN
478,Francisco Vieites,Real Betis,0.0,0.0,315,4,ESP
478,Gabriel Veiga,Celta de Vigo,0.0,0.0,17,1,ESP
478,Gonzalo Garcia,Real Madrid,0.0,0.0,17,2,ESP
478,Gorka Rivera,Getafe,0.0,0.0,2,1,ESP
478,Houboulang Mendes,Almería,0.0,0.0,396,7,GNB
478,Ibrahima Kébé,Girona,0.0,0.0,7,2,MLI
478,Inaki González,Las Palmas,0.0,0.0,4,1,ESP
478,Inaki Pena,Barcelona,0.0,0.0,900,10,ESP
478,Inigo Arguibide,Osasuna,0.0,0.0,16,1,ESP
478,Iván Cuéllar,Mallorca,0.0,0.0,90,1,ESP
478,Iván Villar,Celta de Vigo,0.0,0.0,1015,12,ESP
478,Jan Oblak,Atlético de Madrid,0.0,0.0,3420,38,SVN
478,Jastin Garcia,Girona,0.0,0.0,31,3,ESP
478,Jaume Domenech,Valencia CF,0.0,0.0,79,2,ESP
478,Javi Rueda,Celta de Vigo,0.0,0.0,19,1,ESP
478,Jesus Corona,Sevilla,0.0,0.0,16,2,MEX
478,Jesus Owono,Alavés,0.0,0.0,360,4,EQG
478,Jesus Vallejo,Granada CF,0.0,0.0,106,3,ESP
478,Jon Karrikaburu,Alavés,0.0,0.0,14,2,ESP
478,Jon Martin,Real Sociedad,0.0,0.0,23,1,ESP
478,Jorge Meré,Cádiz,0.0,0.0,677,10,ESP
478,Jorge Moreno,Osasuna,0.0,0.0,13,1,ESP
478,Jorge Pascual,Villarreal,0.0,0.0,13,1,ESP
478,José Mari,Cádiz,0.0,0.0,12,3,ESP
478,José Pozo,Rayo Vallecano,0.0,0.0,17,2,ESP
478,Joseph Aidoo,Celta de Vigo,0.0,0.0,407,6,GHA
478,Juan Cruz,Real Betis,0.0,0.0,71,5,ESP
478,Juanma Herzog,Las Palmas,0.0,0.0,291,4,ESP
478,Juanpe,Girona,0.0,0.0,739,17,ESP
478,Julen Agirrezabala,Athletic Club,0.0,0.0,236,4,ESP
478,Kaiky,Almería,0.0,0.0,520,8,BRA
478,Kepa Arrizabalaga,Real Madrid,0.0,0.0,1197,14,ESP
478,Luis Maximiano,Almería,0.0,0.0,2970,33,POR
478,Mamadou Mbaye,Cádiz,0.0,0.0,286,4,SEN
478,Mamadou Sylla,Alavés,0.0,0.0,16,2,SEN
478,Manu Bueno,Sevilla,0.0,0.0,99,4,ESP
478,Marc Bartra,Real Betis,0.0,0.0,225,3,ESP
478,Marc Casado,Barcelona,0.0,0.0,13,2,ESP
478,Marc Martinez,Granada CF,0.0,0.0,270,3,ESP
478,Marciano Sanca,Almería,0.0,0.0,37,6,GNB
478,Marcos Pena,Almería,0.0,0.0,439,7,ESP
478,Mario Dominguez,Valencia CF,0.0,0.0,23,3,ESP
478,Mario Martin,Real Madrid,0.0,0.0,16,2,ESP
478,Marko Dmitrovic,Sevilla,0.0,0.0,1170,13,SRB
478,Miguel Ángel Brau,Granada CF,0.0,0.0,30,1,ESP
478,Miguel de la Fuente,Alavés,0.0,0.0,64,3,ESP
478,Miki Bosch,Granada CF,0.0,0.0,25,1,ESP
478,Milutin Osmajic,Cádiz,0.0,0.0,4,1,MNE
478,Nabil Aberdin,Getafe,0.0,0.0,180,2,FRA
478,Nico Paz,Real Madrid,0.0,0.0,19,4,ARG
478,Omenuke Mfulu,Las Palmas,0.0,0.0,77,5,COD
478,Ørjan Håskjold Nyland,Sevilla,0.0,0.0,2160,24,NOR
478,Pablo Gozálbez,Valencia CF,0.0,0.0,99,5,ESP
478,Pablo Sáenz,Granada CF,0.0,0.0,18,1,ESP
478,Paco Sanz,Almería,0.0,0.0,23,1,ESP
478,Paul Akouokou,Real Betis,0.0,0.0,26,2,CIV
478,Pepe Reina,Villarreal,0.0,0.0,180,2,ESP
478,Peru Nolaskoain,Athletic Club,0.0,0.0,8,2,ESP
478,Raul Fernández,Granada CF,0.0,0.0,281,4,ESP
478,Ricardo Visus,Real Betis,0.0,0.0,165,3,ESP
478,Rubén Iranzo,Valencia CF,0.0,0.0,10,1,ESP
478,Rui Silva,Real Betis,0.0,0.0,2475,28,POR
478,Salim El Jebari,Atlético de Madrid,0.0,0.0,12,1,ESP
478,Salvi Sánchez,Rayo Vallecano,0.0,0.0,27,1,ESP
478,Shon Weissman,Granada CF,0.0,0.0,78,5,ISR
478,Silvi Clua,Girona,0.0,0.0,1,1,ESP
478,Srdjan Babic,Almería,0.0,0.0,90,1,SRB
478,Stefan Lekovic,Villarreal,0.0,0.0,28,1,SRB
478,Tanguy Nianzou,Sevilla,0.0,0.0,315,8,FRA
478,Thibaut Courtois,Real Madrid,0.0,0.0,333,4,BEL
478,Tomás Mendes,Alavés,0.0,0.0,5,1,ESP
478,Toni Villa,Girona,0.0,0.0,11,2,ESP
478,Unai Garcia,Osasuna,0.0,0.0,559,9,ESP
478,Unai Ropero,Alavés,0.0,0.0,5,1,ESP
478,Urko González,Real Sociedad,0.0,0.0,154,5,ESP
478,Vicente Guaita,Celta de Vigo,0.0,0.0,2402,27,ESP
478,Victor Diaz,Granada CF,0.0,0.0,161,4,ESP
478,Vitor Roque,Barcelona,0.0,0.0,319,14,BRA
478,Xabi Huarte,Osasuna,0.0,0.0,8,1,ESP
478,Yassine Bounou,Sevilla,0.0,0.0,90,1,MAR
478,Yoel Lago,Celta de Vigo,0.0,0.0,90,1,ESP
