Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
80,Unai Lopez,Rayo Vallecano,2.7,2.0,2123,35,ESP
82,Ricard Sánchez,Granada CF,2.7,0.0,2298,33,ESP
83,Joao Félix,Barcelona,2.6,3.0,1542,30,POR
84,Jules Koundé,Barcelona,2.6,2.0,2899,35,FRA
85,Cristian Portu,Girona,2.5,5.0,1271,36,ESP
86,Javi Lopez,Alavés,2.5,3.0,2387,32,ESP
86,Jon Moncayola,Osasuna,2.5,3.0,1801,33,ESP
88,Ilias Akhomach,Villarreal,2.5,2.0,1511,31,MAR
88,José Gayà,Valencia CF,2.5,2.0,1797,24,ESP
88,Thierry Correia,Valencia CF,2.5,2.0,2157,31,POR
91,Inigo Ruiz de Galarreta,Athletic Club,2.5,1.0,2104,29,ESP
91,Oliver Torres,Sevilla,2.5,1.0,1620,27,ESP
93,Diego Lopez,Valencia CF,2.4,6.0,2671,36,ESP
94,Largie Ramazani,Almería,2.4,5.0,1560,29,BEL
95,Jonathan Viera,Almería,2.4,4.0,1541,21,ESP
96,Juan Miranda,Real Betis,2.4,1.0,1860,25,ESP
96,Robert Navarro,Cádiz,2.4,1.0,1905,28,ESP
98,Andoni Gorosabel,Alavés,2.4,0.0,2863,36,ESP
99,Alfonso Pedraza,Villarreal,2.3,3.0,1119,19,ESP
100,Arsen Zakharyan,Real Sociedad,2.3,2.0,1229,29,RUS
101,Iván Balliu,Rayo Vallecano,2.3,1.0,2876,33,ALB
102,Lucas Robertone,Almería,2.2,5.0,2391,33,ARG
103,Gonzalo Villar,Granada CF,2.2,3.0,1785,35,ESP
103,Nahuel Molina,Atlético de Madrid,2.2,3.0,1855,30,ARG
105,Hamari Traoré,Real Sociedad,2.2,2.0,2296,31,MLI
106,Aimar Oroz,Osasuna,2.2,1.0,2350,33,ESP
106,Isi Palazon,Rayo Vallecano,2.2,1.0,2810,37,ESP
108,Rodri,Real Betis,2.2,0.0,1039,29,ESP
109,Saul Niguez,Atlético de Madrid,2.1,5.0,1363,34,ESP
110,Fran Pérez,Valencia CF,2.1,4.0,2069,32,ESP
111,Alex Sola,Alavés,2.1,3.0,1285,31,ESP
111,Jørgen Strand Larsen,Celta de Vigo,2.1,3.0,2887,37,NOR
113,Marcos Acuna,Sevilla,2.1,2.0,1296,21,ARG
113,Sergi Canos,Valencia CF,2.1,2.0,1234,27,ESP
115,Luis Milla,Getafe,2.1,1.0,2123,27,ESP
116,Oscar Trejo,Rayo Vallecano,2.1,0.0,1381,31,ARG
116,Sergio Akieme,Almería,2.1,0.0,1676,19,EQG
118,Adrià Pedrosa,Sevilla,2.0,4.0,1749,31,ESP
119,Lucas Boye,Granada CF,2.0,3.0,2555,31,ARG
120,Joselu,Real Madrid,2.0,2.0,1676,34,ESP
120,Manu Morlanes,Mallorca,2.0,2.0,1610,35,ESP
120,Marvin Park,Las Palmas,2.0,2.0,1852,31,ESP
120,Pablo Fornals,Real Betis,2.0,2.0,1153,15,ESP
124,Martin Zubimendi,Real Sociedad,2.0,1.0,2655,31,ESP
124,Yuri Berchiche,Athletic Club,2.0,1.0,1931,27,ESP
126,Lucas Pires,Cádiz,2.0,0.0,1527,28,BRA
127,Ander Herrera,Athletic Club,1.9,3.0,1023,23,ESP
128,César Azpilicueta,Atlético de Madrid,1.9,2.0,1421,25,ESP
128,Daley Blind,Girona,1.9,2.0,2971,34,NED
