Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
81,Jesus Navas,Sevilla,1.0,22.0,2010,29,ESP
82,Jorge Cuenca,Villarreal,1.0,21.0,1961,29,ESP
83,Manuel Sánchez,Celta de Vigo,1.0,19.0,1777,26,ESP
84,Cenk Özkacar,Valencia CF,1.0,18.0,1595,23,TUR
85,Djibril Sow,Sevilla,1.0,17.0,1469,24,SUI
85,Lucas Pires,Cádiz,1.0,17.0,1527,28,BRA
85,Toni Lato,Mallorca,1.0,17.0,1546,28,ESP
88,César Azpilicueta,Atlético de Madrid,1.0,16.0,1421,25,ESP
88,Juan Iglesias,Getafe,1.0,16.0,1413,23,ESP
90,Abner,Real Betis,1.0,15.0,1397,23,BRA
91,Alfonso Pedraza,Villarreal,1.0,13.0,1119,19,ESP
92,Nahuel Tenaglia,Alavés,1.0,12.0,1131,25,ARG
93,Oriol Romeu,Barcelona,1.0,10.0,930,28,ESP
94,Rubén Alcaraz,Cádiz,0.9,33.0,3138,36,ESP
95,Carlos Neva,Granada CF,0.9,30.0,3152,36,ESP
96,Iván Balliu,Rayo Vallecano,0.9,29.0,2876,33,ALB
97,Andoni Gorosabel,Alavés,0.9,28.0,2863,36,ESP
98,Isaac Carcelén,Cádiz,0.9,27.0,2609,35,ESP
99,Hamari Traoré,Real Sociedad,0.9,24.0,2296,31,MLI
100,Abdelkabir Abqar,Alavés,0.9,23.0,2314,27,MAR
101,Ayoze Pérez,Real Betis,0.9,22.0,2307,31,ESP
101,Daniel Carvajal,Real Madrid,0.9,22.0,2172,28,ESP
103,Andreas Christensen,Barcelona,0.9,21.0,1990,30,DEN
103,Johan Mojica,Osasuna,0.9,21.0,2041,30,COL
105,David Lopez,Girona,0.9,20.0,1975,25,ESP
105,Yuri Berchiche,Athletic Club,0.9,20.0,1931,27,ESP
107,Juan Miranda,Real Betis,0.9,19.0,1860,25,ESP
107,Robert Navarro,Cádiz,0.9,19.0,1905,28,ESP
109,Nacho Fernandez,Real Madrid,0.9,18.0,1739,29,ESP
110,Jaime Mata,Getafe,0.9,17.0,1790,35,ESP
111,Jaume Costa,Mallorca,0.9,16.0,1681,30,ESP
111,Ruben Sobrino,Cádiz,0.9,16.0,1648,32,ESP
113,Pedri,Barcelona,0.9,14.0,1482,24,ESP
113,Saul Niguez,Atlético de Madrid,0.9,14.0,1363,34,ESP
115,Raphinha,Barcelona,0.9,13.0,1370,28,BRA
116,Juanlu Sánchez,Sevilla,0.9,12.0,1174,26,ESP
117,Yeray Álvarez,Athletic Club,0.9,11.0,1155,19,ESP
118,Kike Pérez,Rayo Vallecano,0.9,8.0,828,24,ESP
119,Kirian Rodriguez,Las Palmas,0.8,28.0,3217,37,ESP
120,Gerard Gumbau,Granada CF,0.8,25.0,2684,35,ESP
120,Jules Koundé,Barcelona,0.8,25.0,2899,35,FRA
122,Djené,Getafe,0.8,23.0,2490,33,TOG
123,Jude Bellingham,Real Madrid,0.8,21.0,2323,28,ENG
124,Saul Coco,Las Palmas,0.8,20.0,2293,30,EQG
125,Lamine Yamal,Barcelona,0.8,19.0,2197,37,ESP
126,Jonathan Bamba,Celta de Vigo,0.8,18.0,1993,27,CIV
127,Marc Roca,Real Betis,0.8,17.0,1986,26,ESP
128,Dimitri Foulquier,Valencia CF,0.8,16.0,1833,33,FRA
129,Adrià Pedrosa,Sevilla,0.8,15.0,1749,31,ESP
129,Jorge Herrando,Osasuna,0.8,15.0,1644,19,ESP
131,Frenkie de Jong,Barcelona,0.8,14.0,1637,20,NED
132,Antonio Sánchez,Mallorca,0.8,13.0,1463,29,ESP
132,Ilias Akhomach,Villarreal,0.8,13.0,1511,31,MAR
134,Alex Sola,Alavés,0.8,12.0,1285,31,ESP
134,Hugo Guillamon,Valencia CF,0.8,12.0,1305,26,ESP
134,Lucas Vázquez,Real Madrid,0.8,12.0,1410,29,ESP
137,Inigo Martinez,Barcelona,0.8,11.0,1293,20,ESP
137,Sergi Canos,Valencia CF,0.8,11.0,1234,27,ESP
139,Antonio Puertas,Granada CF,0.8,6.0,720,27,ESP
140,Jon Guridi,Alavés,0.7,22.0,2697,36,ESP
140,Miguel Gutiérrez,Girona,0.7,22.0,3037,35,ESP
142,Daniel Parejo,Villarreal,0.7,21.0,2586,33,ESP
142,Iván Martin,Girona,0.7,21.0,2744,36,ESP
142,Lucas Ocampos,Sevilla,0.7,21.0,2885,35,ARG
145,Diego Lopez,Valencia CF,0.7,20.0,2671,36,ESP
145,Javier Munoz,Las Palmas,0.7,20.0,2646,37,ESP
147,Javier Hernández,Cádiz,0.7,19.0,2517,30,ESP
148,David Garcia,Osasuna,0.7,18.0,2336,27,ESP
148,Fran Beltrán,Celta de Vigo,0.7,18.0,2438,33,ESP
150,Gorka Guruzeta,Athletic Club,0.7,17.0,2240,32,ESP
150,Toni Kroos,Real Madrid,0.7,17.0,2130,33,GER
152,Raul Albiol,Villarreal,0.7,16.0,2035,26,ESP
152,Sergi Darder,Mallorca,0.7,16.0,2154,36,ESP
152,Sergio Arribas,Almería,0.7,16.0,2055,34,ESP
152,Unai Lopez,Rayo Vallecano,0.7,16.0,2123,35,ESP
156,Dion Lopy,Almería,0.7,15.0,1917,30,SEN
156,Inigo Lekue,Athletic Club,0.7,15.0,2001,27,ESP
156,Jon Moncayola,Osasuna,0.7,15.0,1801,33,ESP
156,Marc Pubill,Almería,0.7,15.0,1889,23,ESP
160,Aridane Hernández,Rayo Vallecano,0.7,14.0,1691,19,EQG
160,Marvin Park,Las Palmas,0.7,14.0,1852,31,ESP
162,Ferland Mendy,Real Madrid,0.7,13.0,1725,23,FRA
163,Pau Cubarsi,Barcelona,0.7,12.0,1562,19,ESP
163,Rubén Garcia,Osasuna,0.7,12.0,1549,30,ESP
165,Iddrisu Baba,Almería,0.7,11.0,1424,25,GHA
166,Arnau Martinez,Girona,0.7,10.0,1240,21,ESP
166,José Giménez,Atlético de Madrid,0.7,10.0,1323,22,URU
