Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
82,Jon Moncayola,Osasuna,5.0,3.0,1801,33,ESP
82,Jørgen Strand Larsen,Celta de Vigo,5.0,3.0,2887,37,NOR
84,Jules Koundé,Barcelona,5.0,2.0,2899,35,FRA
84,Rubén Pena,Osasuna,5.0,2.0,2105,29,ESP
84,Unai Lopez,Rayo Vallecano,5.0,2.0,2123,35,ESP
87,Alfonso Espino,Rayo Vallecano,5.0,1.0,2512,31,URU
87,Carles Alena,Getafe,5.0,1.0,1007,29,ESP
87,Inigo Ruiz de Galarreta,Athletic Club,5.0,1.0,2104,29,ESP
87,José Arnáiz,Osasuna,5.0,1.0,922,26,ESP
87,Myrto Uzuni,Granada CF,5.0,1.0,2459,34,ALB
87,Rubén Duarte,Alavés,5.0,1.0,1875,28,ESP
93,Willian José,Real Betis,4.0,5.0,1978,33,BRA
94,Iván Martin,Girona,4.0,4.0,2744,36,ESP
95,Alberto Moleiro,Las Palmas,4.0,3.0,1807,28,ESP
95,Alejandro Catena,Osasuna,4.0,3.0,2536,30,ESP
95,Alex Sola,Alavés,4.0,3.0,1285,31,ESP
95,Álvaro Morata,Atlético de Madrid,4.0,3.0,1909,32,ESP
95,Cristhian Stuani,Girona,4.0,3.0,782,31,URU
95,Daniel Carvajal,Real Madrid,4.0,3.0,2172,28,ESP
95,Javi Lopez,Alavés,4.0,3.0,2387,32,ESP
95,Mikel Merino,Real Sociedad,4.0,3.0,2485,32,ESP
95,Mikel Oyarzabal,Real Sociedad,4.0,3.0,2157,33,ESP
95,Nahuel Molina,Atlético de Madrid,4.0,3.0,1855,30,ARG
95,Sandro Ramirez,Las Palmas,4.0,3.0,1819,27,ESP
106,Ante Budimir,Osasuna,4.0,2.0,2449,33,CRO
106,Giuliano Simeone,Alavés,4.0,2.0,628,14,ARG
106,Goncalo Guedes,Villarreal,4.0,2.0,951,17,POR
106,Ianis Hagi,Alavés,4.0,2.0,798,22,ROU
106,Iván Alejo,Cádiz,4.0,2.0,1702,30,ESP
106,Javier Hernández,Cádiz,4.0,2.0,2517,30,ESP
106,José Gayà,Valencia CF,4.0,2.0,1797,24,ESP
106,Joselu,Real Madrid,4.0,2.0,1676,34,ESP
106,Marcos Acuna,Sevilla,4.0,2.0,1296,21,ARG
106,Marvin Park,Las Palmas,4.0,2.0,1852,31,ESP
106,Nabil Fekir,Real Betis,4.0,2.0,1049,19,FRA
106,Pablo Fornals,Real Betis,4.0,2.0,1153,15,ESP
106,Sergi Cardona,Las Palmas,4.0,2.0,2816,35,ESP
106,Thierry Correia,Valencia CF,4.0,2.0,2157,31,POR
120,Abdon Prats,Mallorca,4.0,1.0,1258,34,ESP
120,Álvaro Garcia,Rayo Vallecano,4.0,1.0,2493,32,ESP
120,Hugo Sotelo,Celta de Vigo,4.0,1.0,718,17,ESP
120,Juan Miranda,Real Betis,4.0,1.0,1860,25,ESP
120,Oliver Torres,Sevilla,4.0,1.0,1620,27,ESP
120,Yuri Berchiche,Athletic Club,4.0,1.0,1931,27,ESP
126,Frenkie de Jong,Barcelona,4.0,0.0,1637,20,NED
126,Sergio Akieme,Almería,4.0,0.0,1676,19,EQG
128,Sergio Ruiz,Granada CF,3.0,4.0,2501,35,ESP
129,Ezequiel Ávila,Osasuna,3.0,3.0,1166,23,ARG
129,Gonzalo Villar,Granada CF,3.0,3.0,1785,35,ESP
131,Aihen Munoz,Real Sociedad,3.0,2.0,1120,21,ESP
131,Antonio Raillo,Mallorca,3.0,2.0,2198,26,ESP
131,Arnau Martinez,Girona,3.0,2.0,1240,21,ESP
131,Arsen Zakharyan,Real Sociedad,3.0,2.0,1229,29,RUS
131,Hugo Duro,Valencia CF,3.0,2.0,2994,37,ESP
131,Jonathan Bamba,Celta de Vigo,3.0,2.0,1993,27,CIV
131,Pablo Ibánez,Osasuna,3.0,2.0,1141,33,ESP
131,Ronald Araujo,Barcelona,3.0,2.0,1994,25,URU
139,Abner,Real Betis,3.0,1.0,1397,23,BRA
139,Aimar Oroz,Osasuna,3.0,1.0,2350,33,ESP
139,Antonio Blanco,Alavés,3.0,1.0,2436,33,ESP
139,Franco Cervi,Celta de Vigo,3.0,1.0,537,17,ARG
139,Gonzalo Melero,Almería,3.0,1.0,1093,28,ESP
139,Hugo Álvarez,Celta de Vigo,3.0,1.0,763,12,ESP
139,Iván Balliu,Rayo Vallecano,3.0,1.0,2876,33,ALB
139,Ivan Rakitic,Sevilla,3.0,1.0,1425,18,CRO
139,Juan Brandariz,Almería,3.0,1.0,2432,31,ESP
139,Kamil Jozwiak,Granada CF,3.0,1.0,573,11,POL
139,Martin Valjent,Mallorca,3.0,1.0,2354,28,SVK
139,Memphis Depay,Atlético de Madrid,3.0,1.0,888,23,NED
139,Mikel Vesga,Athletic Club,3.0,1.0,1535,27,ESP
139,Oriol Romeu,Barcelona,3.0,1.0,930,28,ESP
139,Pablo Barrios,Atlético de Madrid,3.0,1.0,1556,24,ESP
139,Raul Albiol,Villarreal,3.0,1.0,2035,26,ESP
139,Ruben Sobrino,Cádiz,3.0,1.0,1648,32,ESP
139,Sergi Guardiola,Cádiz,3.0,1.0,475,22,ESP
139,Toni Lato,Mallorca,3.0,1.0,1546,28,ESP
158,Andoni Gorosabel,Alavés,3.0,0.0,2863,36,ESP
158,Antonio Rüdiger,Real Madrid,3.0,0.0,2707,33,GER
