Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
81,Álvaro Morata,Atlético de Madrid,1.6,2.0,1909,32,ESP
81,Enzo Loiodice,Las Palmas,1.6,2.0,1792,34,FRA
81,Gonzalo Escalante,Cádiz,1.6,2.0,1702,25,ARG
81,Maximiliano Gomez,Cádiz,1.6,2.0,1157,31,URU
81,Mikel Vesga,Athletic Club,1.6,2.0,1535,27,ESP
86,Abderrahman Rebbach,Alavés,1.6,1.0,713,23,ALG
87,Igor Zubeldia,Real Sociedad,1.5,11.0,2523,30,ESP
88,Pathé Ciss,Rayo Vallecano,1.5,10.0,1658,31,SEN
89,Sergio Ruiz,Granada CF,1.5,9.0,2501,35,ESP
90,Ander Guevara,Alavés,1.5,7.0,2936,37,ESP
90,Gaston Álvarez,Getafe,1.5,7.0,2535,34,URU
90,Nemanja Gudelj,Sevilla,1.5,7.0,1744,22,SRB
90,Rubén Duarte,Alavés,1.5,7.0,1875,28,ESP
94,Maximo Perrone,Las Palmas,1.5,6.0,1626,29,ARG
95,Vedat Muriqi,Mallorca,1.5,5.0,2329,29,KVX
96,Ante Budimir,Osasuna,1.5,4.0,2449,33,CRO
96,Marc Cardona,Las Palmas,1.5,4.0,724,26,ESP
96,Oriol Romeu,Barcelona,1.5,4.0,930,28,ESP
99,Aimar Oroz,Osasuna,1.5,3.0,2350,33,ESP
99,Alejandro Pozo,Almería,1.5,3.0,970,21,ESP
99,Ianis Hagi,Alavés,1.5,3.0,798,22,ROU
102,Arsen Zakharyan,Real Sociedad,1.5,1.0,1229,29,RUS
103,Lucas Robertone,Almería,1.4,11.0,2391,33,ARG
104,Omar Alderete,Getafe,1.4,8.0,2194,31,PAR
104,Yan Couto,Girona,1.4,8.0,2245,34,BRA
106,Giovanni González,Mallorca,1.4,7.0,2463,34,URU
106,Joao Cancelo,Barcelona,1.4,7.0,2506,32,POR
108,Kiko,Villarreal,1.4,6.0,1579,23,ESP
108,Samuel Omorodion,Alavés,1.4,6.0,2003,35,ESP
110,Dion Lopy,Almería,1.4,5.0,1917,30,SEN
110,Yuri Berchiche,Athletic Club,1.4,5.0,1931,27,ESP
112,Ayoze Pérez,Real Betis,1.4,4.0,2307,31,ESP
112,Jorge Herrando,Osasuna,1.4,4.0,1644,19,ESP
112,Pepelu,Valencia CF,1.4,4.0,3305,37,ESP
