Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
81,Yan Couto,Girona,7.01,0.0,2245,34,BRA
81,Axel Witsel,Atlético de Madrid,7.01,0.0,2784,35,BEL
83,Marc Pubill,Almería,7.0,1.0,1889,23,ESP
84,Oscar Mingueza,Celta de Vigo,6.99,2.0,3002,38,ESP
85,Marc Roca,Real Betis,6.99,0.0,1986,26,ESP
85,Daniel Vivian,Athletic Club,6.99,0.0,2879,33,ESP
85,Inigo Ruiz de Galarreta,Athletic Club,6.99,0.0,2104,29,ESP
88,Sergio Arribas,Almería,6.99,1.0,2055,34,ESP
89,Mika Mármol,Las Palmas,6.98,0.0,3181,36,ESP
90,Juan Miranda,Real Betis,6.98,1.0,1860,25,ESP
91,David Lopez,Girona,6.98,0.0,1975,25,ESP
92,Rubén Alcaraz,Cádiz,6.98,4.0,3138,36,ESP
93,Álvaro Garcia,Rayo Vallecano,6.97,2.0,2493,32,ESP
93,Sergi Darder,Mallorca,6.97,2.0,2154,36,ESP
95,Nemanja Maksimovic,Getafe,6.97,1.0,3272,37,SRB
96,Andreas Christensen,Barcelona,6.96,0.0,1990,30,DEN
97,Marcos Acuna,Sevilla,6.96,1.0,1296,21,ARG
98,Thierry Correia,Valencia CF,6.96,2.0,2157,31,POR
99,Kieran Tierney,Real Sociedad,6.96,1.0,1243,20,SCO
100,Iker Munoz,Osasuna,6.96,3.0,1856,28,ESP
101,Youssef En-Nesyri,Sevilla,6.95,3.0,2573,33,MAR
102,Inigo Lekue,Athletic Club,6.95,0.0,2001,27,ESP
102,Hamari Traoré,Real Sociedad,6.95,0.0,2296,31,MLI
104,Luis Rioja,Alavés,6.95,4.0,2511,37,ESP
105,Pau Cubarsi,Barcelona,6.94,0.0,1562,19,ESP
106,Samu,Mallorca,6.94,2.0,2305,34,POR
106,Carl Starfelt,Celta de Vigo,6.94,2.0,2218,27,SWE
108,Robin Le Normand,Real Sociedad,6.93,1.0,2473,29,ESP
108,Johan Mojica,Osasuna,6.93,1.0,2041,30,COL
108,Moi Gomez,Osasuna,6.93,1.0,2010,28,ESP
111,Paulo Gazzaniga,Girona,6.93,4.0,3420,38,ARG
112,Marcos Llorente,Atlético de Madrid,6.92,1.0,2570,37,ESP
113,Vedat Muriqi,Mallorca,6.92,0.0,2329,29,KVX
114,Oihan Sancet,Athletic Club,6.92,1.0,1991,30,ESP
115,Aihen Munoz,Real Sociedad,6.92,0.0,1120,21,ESP
115,Ander Herrera,Athletic Club,6.92,0.0,1023,23,ESP
117,Florian Lejeune,Rayo Vallecano,6.92,3.0,3328,37,FRA
118,Robert Navarro,Cádiz,6.91,0.0,1905,28,ESP
118,Ronald Araujo,Barcelona,6.91,0.0,1994,25,URU
118,Julian Araujo,Las Palmas,6.91,0.0,1462,25,MEX
118,Manuel Sánchez,Celta de Vigo,6.91,0.0,1777,26,ESP
122,Unai Simon,Athletic Club,6.91,2.0,3184,36,ESP
123,Nemanja Gudelj,Sevilla,6.91,1.0,1744,22,SRB
123,Igor Zubeldia,Real Sociedad,6.91,1.0,2523,30,ESP
125,Matija Nastasic,Mallorca,6.9,1.0,2257,26,SRB
126,Alex Remiro,Real Sociedad,6.9,3.0,3276,37,ESP
127,Andoni Gorosabel,Alavés,6.9,1.0,2863,36,ESP
128,Joselu,Real Madrid,6.9,2.0,1676,34,ESP
129,Javi Lopez,Alavés,6.89,1.0,2387,32,ESP
129,Adrián Embarba,Almería,6.89,1.0,2485,36,ESP
129,Jørgen Strand Larsen,Celta de Vigo,6.89,1.0,2887,37,NOR
132,Antonio Rüdiger,Real Madrid,6.88,0.0,2707,33,GER
132,Rubén Garcia,Osasuna,6.88,0.0,1549,30,ESP
132,César Azpilicueta,Atlético de Madrid,6.88,0.0,1421,25,ESP
135,Kiko,Villarreal,6.87,0.0,1579,23,ESP
136,Jon Guridi,Alavés,6.87,2.0,2697,36,ESP
137,Benat Prados,Athletic Club,6.87,0.0,1450,26,ESP
138,Oscar Valentin,Rayo Vallecano,6.87,1.0,2700,34,ESP
139,Ángel Correa,Atlético de Madrid,6.87,2.0,1525,32,ARG
140,Fermin Lopez,Barcelona,6.87,1.0,1444,31,ESP
141,Nahuel Molina,Atlético de Madrid,6.86,0.0,1855,30,ARG
142,Antonio Blanco,Alavés,6.86,1.0,2436,33,ESP
142,José Copete,Mallorca,6.86,1.0,1335,19,ESP
144,Kike Salas,Sevilla,6.86,0.0,1604,23,ESP
145,Suso,Sevilla,6.86,1.0,1514,29,ESP
146,Rubén Duarte,Alavés,6.86,2.0,1875,28,ESP
147,Ørjan Håskjold Nyland,Sevilla,6.85,2.0,2160,24,NOR
147,Jeremias Ledesma,Cádiz,6.85,2.0,3049,34,ARG
147,Giovanni González,Mallorca,6.85,2.0,2463,34,URU
150,Mikel Vesga,Athletic Club,6.85,1.0,1535,27,ESP
151,Alfonso Espino,Rayo Vallecano,6.85,0.0,2512,31,URU
152,Sergio Ruiz,Granada CF,6.85,1.0,2501,35,ESP
153,Isi Palazon,Rayo Vallecano,6.84,1.0,2810,37,ESP
153,Jesus Areso,Osasuna,6.84,1.0,2661,37,ESP
153,David Garcia,Osasuna,6.84,1.0,2336,27,ESP
153,Ander Guevara,Alavés,6.84,1.0,2936,37,ESP
157,Hugo Duro,Valencia CF,6.83,1.0,2994,37,ESP
157,Juan Iglesias,Getafe,6.83,1.0,1413,23,ESP
159,Nacho Fernandez,Real Madrid,6.83,0.0,1739,29,ESP
159,Oriol Romeu,Barcelona,6.83,0.0,930,28,ESP
161,Javier Hernández,Cádiz,6.82,0.0,2517,30,ESP
162,Diego Lopez,Valencia CF,6.82,1.0,2671,36,ESP
162,Santi Comesana,Villarreal,6.82,1.0,1656,27,ESP
164,Rodrigo Riquelme,Atlético de Madrid,6.81,1.0,1522,34,ESP
164,Alex Suárez,Las Palmas,6.81,1.0,2566,32,ESP
164,Aimar Oroz,Osasuna,6.81,1.0,2350,33,ESP
167,Arnau Martinez,Girona,6.81,0.0,1240,21,ESP
168,Antonio Sivera,Alavés,6.8,1.0,3060,34,ESP
168,Jorge Cuenca,Villarreal,6.8,1.0,1961,29,ESP
170,Gaston Álvarez,Getafe,6.8,0.0,2535,34,URU
170,Stefan Savic,Atlético de Madrid,6.8,0.0,1631,23,MNE
172,Manu Morlanes,Mallorca,6.8,1.0,1610,35,ESP
173,Marc-Andre ter Stegen,Barcelona,6.8,2.0,2520,28,GER
174,Carlos Benavidez,Alavés,6.8,0.0,1121,29,URU
175,Saul Niguez,Atlético de Madrid,6.8,1.0,1363,34,ESP
176,Chadi Riad,Real Betis,6.79,0.0,2164,26,MAR
177,Rubén Pena,Osasuna,6.79,3.0,2105,29,ESP
178,Mikel Oyarzabal,Real Sociedad,6.79,1.0,2157,33,ESP
179,Predrag Rajkovic,Mallorca,6.79,2.0,3240,36,SRB
180,Jesus Navas,Sevilla,6.79,0.0,2010,29,ESP
