Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
81,Alberto Moleiro,Las Palmas,3.0,0.0,1807,28,ESP
81,Aleix Garcia,Girona,3.0,0.0,3201,37,ESP
81,Anthony Lozano,Almería,3.0,0.0,866,19,HON
81,Antonio Raillo,Mallorca,3.0,0.0,2198,26,ESP
81,Antonio Sánchez,Mallorca,3.0,0.0,1463,29,ESP
81,Aurélien Tchouaméni,Real Madrid,3.0,0.0,1987,27,FRA
81,Carlos Benavidez,Alavés,3.0,0.0,1121,29,URU
81,Cyle Larin,Mallorca,3.0,0.0,1823,35,CAN
81,David Lopez,Girona,3.0,0.0,1975,25,ESP
81,Diego Lopez,Valencia CF,3.0,0.0,2671,36,ESP
81,Florian Lejeune,Rayo Vallecano,3.0,0.0,3328,37,FRA
81,Goncalo Guedes,Villarreal,3.0,0.0,951,17,POR
81,Jon Guridi,Alavés,3.0,0.0,2697,36,ESP
81,Jonathan Bamba,Celta de Vigo,3.0,0.0,1993,27,CIV
81,Jorge Cuenca,Villarreal,3.0,0.0,1961,29,ESP
81,Juanmi,Cádiz,3.0,0.0,872,16,ESP
81,Kike Garcia,Alavés,3.0,0.0,1421,33,ESP
81,Kike Salas,Sevilla,3.0,0.0,1604,23,ESP
81,Largie Ramazani,Almería,3.0,0.0,1560,29,BEL
81,Lucas Vázquez,Real Madrid,3.0,0.0,1410,29,ESP
81,Luka Romero,Almería,3.0,0.0,434,13,ARG
81,Moi Gomez,Osasuna,3.0,0.0,2010,28,ESP
81,Munir El Haddadi,Las Palmas,3.0,0.0,2470,38,MAR
81,Pablo Fornals,Real Betis,3.0,0.0,1153,15,ESP
81,Ricard Sánchez,Granada CF,3.0,0.0,2298,33,ESP
81,Rodrigo De Paul,Atlético de Madrid,3.0,0.0,2084,34,ARG
81,Rodrigo Riquelme,Atlético de Madrid,3.0,0.0,1522,34,ESP
81,Roman Yaremchuk,Valencia CF,3.0,0.0,926,25,UKR
81,Rubén Garcia,Osasuna,3.0,0.0,1549,30,ESP
81,Sergi Roberto,Barcelona,3.0,0.0,863,14,ESP
81,Sergio Camello,Rayo Vallecano,3.0,0.0,1668,31,ESP
81,Sergio Ramos,Sevilla,3.0,0.0,2518,28,ESP
81,Umar Sadiq,Real Sociedad,3.0,0.0,1074,26,NGA
81,Yuri Berchiche,Athletic Club,3.0,0.0,1931,27,ESP
115,Adrián Embarba,Almería,3.0,1.0,2485,36,ESP
115,André Silva,Real Sociedad,3.0,1.0,730,19,POR
117,Mikel Vesga,Athletic Club,3.0,2.0,1535,27,ESP
117,Rubén Alcaraz,Cádiz,3.0,2.0,3138,36,ESP
119,Daniel Parejo,Villarreal,3.0,3.0,2586,33,ESP
120,Aitor Ruibal,Real Betis,2.0,0.0,1015,18,ESP
120,Alberto Moreno,Villarreal,2.0,0.0,1490,27,ESP
120,Álex Baena,Villarreal,2.0,0.0,2599,34,ESP
120,Alex Suárez,Las Palmas,2.0,0.0,2566,32,ESP
120,André Almeida,Valencia CF,2.0,0.0,969,18,POR
120,Andreas Christensen,Barcelona,2.0,0.0,1990,30,DEN
120,Asier Villalibre,Athletic Club,2.0,0.0,503,18,ESP
120,Assane Diao,Real Betis,2.0,0.0,1052,18,ESP
120,Axel Witsel,Atlético de Madrid,2.0,0.0,2784,35,BEL
120,Bruno Méndez,Granada CF,2.0,0.0,1336,17,URU
120,Carlos Vicente,Alavés,2.0,0.0,1118,18,ESP
120,Daniel Rodriguez,Mallorca,2.0,0.0,2632,36,ESP
120,Edgar González,Almería,2.0,0.0,2528,31,ESP
120,Erik Lamela,Sevilla,2.0,0.0,459,13,ARG
120,Ezequiel Ávila,Real Betis,2.0,0.0,1166,23,ARG
120,Facundo Pellistri,Granada CF,2.0,0.0,1220,15,URU
120,Federico Valverde,Real Madrid,2.0,0.0,2910,37,URU
120,Frenkie de Jong,Barcelona,2.0,0.0,1637,20,NED
120,Gaston Álvarez,Getafe,2.0,0.0,2535,34,URU
120,Guido Rodriguez,Real Betis,2.0,0.0,1849,24,ARG
120,Iker Muniain,Athletic Club,2.0,0.0,585,20,ESP
120,Ilias Akhomach,Villarreal,2.0,0.0,1511,31,MAR
120,Ivan Rakitic,Sevilla,2.0,0.0,1425,18,CRO
120,Javier Munoz,Las Palmas,2.0,0.0,2646,37,ESP
120,Joao Cancelo,Barcelona,2.0,0.0,2506,32,POR
120,Jorge de Frutos,Rayo Vallecano,2.0,0.0,1542,36,ESP
120,José Arnáiz,Osasuna,2.0,0.0,922,26,ESP
120,Juanma Herzog,Las Palmas,2.0,0.0,291,4,ESP
120,Juanmi Latasa,Getafe,2.0,0.0,1553,32,ESP
